"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Non-dispensing",17.57882363,143.3
"Non-dispensing",10.68523116,141.22
"Non-dispensing",18.1699272,141.49
"Non-dispensing",14.14144826,176.41
"Non-dispensing",8.691291777,142.89
"Non-dispensing",17.47333678,140.19
"Non-dispensing",13.90959149,150.84
"Non-dispensing",19.63567964,139.6
"Non-dispensing",15.58792188,166.46
"Non-dispensing",10.70507744,168.54
"Non-dispensing",14.69736009,150.69
"Non-dispensing",14.67381732,137.19
"Non-dispensing",16.99001504,137.52
"Dispensing",7.61565781,140.33
"Non-dispensing",20.5624948,129.39
"Dispensing",10.45431866,251.73
"Non-dispensing",17.67966676,147.15
"Non-dispensing",17.33990389,139.98
"Non-dispensing",9.848719284,150.01
"Non-dispensing",11.62611347,145.54
"Non-dispensing",9.700711897,154.42
"Non-dispensing",16.80419006,156.32
"Non-dispensing",13.25038238,147.72
"Non-dispensing",5.902666077,154.6
"Non-dispensing",8.605999773,146.16
"Non-dispensing",16.82187228,142.61
"Non-dispensing",12.39480888,137.44
"Non-dispensing",26.98790083,137.88
"Non-dispensing",12.18447018,156.96
"Non-dispensing",9.644002125,164.26
"Non-dispensing",18.58895604,204
"Non-dispensing",12.09779339,155.53
"Non-dispensing",19.9299506,122.89
"Non-dispensing",5.286608457,159.44
"Non-dispensing",22.19039637,151.68
"Non-dispensing",18.37633046,146.83
"Dispensing",11.08865154,167.03
"Non-dispensing",7.932036116,145.65
"Non-dispensing",20.17171609,142.98
"Non-dispensing",14.08691658,142.42
"Non-dispensing",8.67897658,156.16
"Non-dispensing",8.322824764,147.03
"Non-dispensing",15.66263927,152.11
"Non-dispensing",14.23183593,146.08
"Non-dispensing",19.82327564,162.17
"Non-dispensing",4.444442535,158.97
"Non-dispensing",9.724276872,137.17
"Non-dispensing",6.33586917,152.75
"Non-dispensing",7.72322657,144.75
"Non-dispensing",12.43233075,137.28
"Non-dispensing",16.83963075,137.95
"Non-dispensing",5.704364177,140.32
"Dispensing",8.120933733,161.7
"Non-dispensing",12.37525222,153.22
"Non-dispensing",6.553018034,196.46
"Non-dispensing",10.76476766,161.03
"Non-dispensing",4.806825454,144.49
"Non-dispensing",14.1380568,160.01
"Non-dispensing",21.10991222,132.18
"Non-dispensing",9.081096348,136.39
"Non-dispensing",17.47758368,186.32
"Non-dispensing",8.819764404,151.2
"Non-dispensing",8.160666349,144.56
"Non-dispensing",9.656494964,137.18
"Dispensing",18.53464297,155.41
"Non-dispensing",13.44875103,171.55
"Non-dispensing",18.22278622,256.07
"Non-dispensing",11.02494882,148.13
"Non-dispensing",13.84859719,154.72
"Non-dispensing",8.808593581,184.62
"Non-dispensing",22.23906982,148.14
"Non-dispensing",6.174513748,145.44
"Non-dispensing",12.7921862,160.38
"Non-dispensing",10.84860268,156.74
"Non-dispensing",11.35027453,173.97
"Non-dispensing",8.898525467,144.16
"Non-dispensing",8.66005872,145.34
"Non-dispensing",13.45804131,260.45
"Non-dispensing",13.90238533,131.56
"Dispensing",4.874098341,139.78
"Non-dispensing",12.22020659,152.88
"Non-dispensing",19.00386342,150.06
"Non-dispensing",10.42949403,134.25
"Non-dispensing",17.81658563,152.74
"Non-dispensing",19.24014103,139.63
"Dispensing",8.379602457,324.78
"Non-dispensing",19.54292969,150.8
"Non-dispensing",13.95059242,148.18
"Non-dispensing",7.892550529,145.3
"Non-dispensing",9.179645233,256.2
"Dispensing",9.799991604,175.08
"Non-dispensing",20.62760973,150.84
"Dispensing",11.84575136,240.63
"Non-dispensing",25.50518332,136.69
"Non-dispensing",23.416007,147.25
"Non-dispensing",7.775592459,131.31
"Non-dispensing",8.422749114,145.7
"Non-dispensing",6.622586106,254.27
"Non-dispensing",20.21952124,124.43
"Non-dispensing",9.036842839,147.28
"Non-dispensing",18.62695311,131.02
"Non-dispensing",14.02950253,145.45
"Non-dispensing",12.5059403,141.78
"Non-dispensing",23.02040237,148.06
"Non-dispensing",19.12810848,135.35
"Non-dispensing",9.221716177,129.84
"Non-dispensing",11.14138591,137.62
"Non-dispensing",14.23836231,139.53
"Non-dispensing",30.40216781,128.23
"Non-dispensing",14.78739995,132.23
"Non-dispensing",12.00519248,152.91
"Non-dispensing",12.88502109,152.53
"Non-dispensing",13.4290826,134.7
"Non-dispensing",20.72787463,142.96
"Non-dispensing",15.86594544,137.14
"Non-dispensing",14.2048699,136.7
"Non-dispensing",10.33639252,149.33
"Non-dispensing",24.42204981,132.68
"Non-dispensing",11.98643018,149.14
"Non-dispensing",15.62882691,141.13
"Non-dispensing",26.63804914,124.6
"Non-dispensing",13.2379982,157.7
"Non-dispensing",15.19772903,135.95
"Non-dispensing",22.30957072,165.21
"Non-dispensing",18.65881522,133.34
"Non-dispensing",13.10735847,147.46
"Non-dispensing",12.21607702,147.48
"Non-dispensing",19.35750983,138.45
"Non-dispensing",15.93538052,159.7
"Non-dispensing",20.23648629,137.44
"Non-dispensing",14.83563387,131
"Non-dispensing",17.61800339,130.22
"Non-dispensing",21.36508977,137.24
"Non-dispensing",15.03338312,148.13
"Non-dispensing",10.89563308,125.74
"Non-dispensing",14.28185485,150.54
"Non-dispensing",13.64389188,136.82
"Non-dispensing",15.31173144,130.53
"Non-dispensing",13.62941763,122.68
"Non-dispensing",12.0122969,138.2
"Non-dispensing",20.64107929,121.96
"Non-dispensing",11.70818909,138.8
"Non-dispensing",15.1544346,136
"Non-dispensing",15.87398709,138.02
"Non-dispensing",15.30685843,102.36
"Non-dispensing",16.03045442,142.94
"Non-dispensing",15.99104997,137.98
"Non-dispensing",17.08258867,112.16
"Non-dispensing",23.82022348,144.01
"Non-dispensing",21.37683113,135.07
"Non-dispensing",16.63260126,137.97
"Non-dispensing",12.364521,155.6
"Non-dispensing",25.95315417,132.84
"Non-dispensing",15.75270252,140.85
"Non-dispensing",16.64666761,152.34
"Non-dispensing",19.21643393,141.9
"Non-dispensing",28.3846203,136.32
"Non-dispensing",24.84736363,167.02
"Non-dispensing",38.60411355,149.02
"Non-dispensing",17.10810974,151.2
"Non-dispensing",20.54193389,151.88
"Non-dispensing",19.01709444,143.89
"Non-dispensing",12.89161724,237.87
"Non-dispensing",19.2766974,132.46
"Non-dispensing",27.99675893,155.68
"Non-dispensing",20.44667878,259.14
"Non-dispensing",8.379485521,211.21
"Non-dispensing",22.66836879,160.28
"Non-dispensing",40.0962919,138.14
"Non-dispensing",29.49874094,151.51
"Non-dispensing",42.12907,155.91
"Non-dispensing",25.62569943,141.84
"Non-dispensing",25.21527464,147.82
"Non-dispensing",30.46474055,134.72
"Non-dispensing",16.08555,167.64
"Non-dispensing",14.00383292,139.68
"Non-dispensing",33.21472929,170.81
"Non-dispensing",17.53119958,139.46
"Non-dispensing",18.82686515,153.89
"Non-dispensing",20.20873218,140.36
"Non-dispensing",22.23513863,152.25
"Non-dispensing",10.00762875,156.13
"Non-dispensing",13.16586051,148.5
"Non-dispensing",17.80499111,135.07
"Non-dispensing",13.76679817,165.71
"Non-dispensing",11.07702224,157.46
"Non-dispensing",18.10141236,149.7
"Non-dispensing",23.45814954,139.29
"Non-dispensing",24.94321741,104.02
"Non-dispensing",20.1830559,147.99
"Non-dispensing",10.61595236,181.67
"Non-dispensing",17.49680166,163.56
"Non-dispensing",13.62738382,145.38
"Non-dispensing",34.80243323,128.15
"Non-dispensing",16.0752959,134.64
"Non-dispensing",28.7269923,133.78
"Non-dispensing",18.20359895,179.04
"Non-dispensing",22.78155936,127.78
"Non-dispensing",16.45406372,157.97
"Non-dispensing",22.53947142,124.65
"Non-dispensing",14.87335847,148.16
"Non-dispensing",18.90951264,152.89
"Non-dispensing",19.20401722,132.21
"Non-dispensing",22.18004769,145.23
"Non-dispensing",22.96563046,185.28
"Non-dispensing",41.19877415,149.16
"Non-dispensing",21.9839942,155.3
"Non-dispensing",35.1329687,305.44
"Non-dispensing",15.22395509,147.99
"Non-dispensing",14.91631545,154.37
"Non-dispensing",17.93871705,139.87
"Non-dispensing",31.86140235,133.82
"Non-dispensing",20.5107242,170.3
"Non-dispensing",14.13864509,146.2
"Non-dispensing",32.97356348,123.09
"Non-dispensing",26.54475104,152.75
"Non-dispensing",16.2539528,143
"Non-dispensing",20.75231653,151.35
"Non-dispensing",16.49879152,138.69
"Non-dispensing",18.93633515,248.5
"Non-dispensing",28.57086637,135.79
"Non-dispensing",19.27509302,177.4
"Non-dispensing",15.2926812,143.29
"Non-dispensing",19.18134181,137.3
"Non-dispensing",22.25528499,132.47
"Non-dispensing",25.40382326,165.62
"Non-dispensing",22.55404912,134.14
"Non-dispensing",17.27440484,243.55
"Non-dispensing",16.30430715,153.18
"Non-dispensing",22.46699442,158.24
"Non-dispensing",26.20978594,123.9
"Non-dispensing",30.1975247,139.84
"Non-dispensing",32.22679921,161.82
"Non-dispensing",17.38285912,135.57
"Non-dispensing",23.78191292,155.54
"Non-dispensing",27.47987731,150.05
"Non-dispensing",22.12434373,147.47
"Non-dispensing",11.61961632,144.28
"Non-dispensing",21.57344233,130.12
"Non-dispensing",24.24028619,147.93
"Non-dispensing",23.89049396,194.18
"Non-dispensing",27.44853879,188.82
"Non-dispensing",21.32550242,152.05
"Non-dispensing",29.80197837,144.97
"Non-dispensing",26.26949453,170.8
"Non-dispensing",23.08842171,144.91
"Non-dispensing",20.32405549,159.61
"Non-dispensing",19.9322688,150.6
"Non-dispensing",20.18278414,161
"Non-dispensing",18.99368218,156.35
"Non-dispensing",13.7528095,141.7
"Non-dispensing",23.78331654,134.36
"Non-dispensing",23.99829194,131.66
"Non-dispensing",26.40001609,166.83
"Non-dispensing",25.52702494,143.03
"Non-dispensing",13.31887213,147.07
"Non-dispensing",14.67986655,128.91
"Non-dispensing",21.71519172,178.02
"Non-dispensing",26.8476042,136.4
"Non-dispensing",20.78200344,151.98
"Non-dispensing",22.96366536,169.99
"Non-dispensing",32.02883484,152.02
"Non-dispensing",28.90946085,198.69
"Non-dispensing",21.77915393,155.91
"Non-dispensing",27.86412262,155.27
"Non-dispensing",22.12196174,145.98
"Non-dispensing",26.48839087,181.02
"Non-dispensing",16.12950234,182.47
"Non-dispensing",28.45994651,153.84
"Non-dispensing",23.15845169,132.54
"Non-dispensing",12.37357971,161.11
"Non-dispensing",22.00531559,165.57
"Non-dispensing",21.98513535,148.61
"Non-dispensing",16.36292393,145.11
"Non-dispensing",28.11291817,144.91
"Non-dispensing",21.13531693,133.98
"Non-dispensing",29.17053267,158.41
"Non-dispensing",12.0147336,161.75
"Non-dispensing",23.55019271,165.8
"Non-dispensing",23.67411243,133.64
"Non-dispensing",19.62134517,134.04
"Non-dispensing",20.4211031,355.46
"Non-dispensing",27.71911777,130.35
"Non-dispensing",26.25840941,183.1
"Non-dispensing",30.09063769,208.21
"Non-dispensing",26.52516719,157.01
"Non-dispensing",20.74845818,158.65
"Non-dispensing",23.76617243,132.08
"Non-dispensing",28.79001119,145.67
"Non-dispensing",19.14629794,143.2
"Non-dispensing",26.70317402,167.64
"Non-dispensing",28.5729802,178.98
"Non-dispensing",26.68555742,159.08
"Non-dispensing",29.32495436,140.52
"Non-dispensing",18.54275173,167.79
"Non-dispensing",14.39221363,145.96
"Non-dispensing",16.71266052,173.35
"Non-dispensing",22.94346048,132.89
"Non-dispensing",23.43380859,138.06
"Non-dispensing",21.05781136,156.52
"Non-dispensing",18.99844292,150.47
"Non-dispensing",26.16498866,150.71
"Non-dispensing",21.5582441,189.2
"Non-dispensing",26.04514049,154.87
"Non-dispensing",17.38935928,168.78
"Non-dispensing",16.67762783,150.25
"Non-dispensing",23.13621298,118.9
"Non-dispensing",20.78915193,119.38
"Non-dispensing",22.1333485,141.78
"Non-dispensing",18.49121768,156.91
"Non-dispensing",18.74265542,156.13
"Non-dispensing",20.8286279,166.48
"Non-dispensing",18.91687699,138.08
"Non-dispensing",16.27797319,148.93
"Non-dispensing",25.35197431,131.82
"Non-dispensing",21.22064538,181.78
"Non-dispensing",23.87466975,171.02
"Non-dispensing",29.46783081,140.99
"Non-dispensing",14.89706784,119.51
"Non-dispensing",15.07705229,157.23
"Non-dispensing",25.35797272,219.08
"Non-dispensing",27.29029324,166.31
"Non-dispensing",23.77192835,156.76
"Non-dispensing",21.49745401,147.28
"Non-dispensing",24.97650424,171.85
"Non-dispensing",20.65320455,166.75
"Non-dispensing",19.51953601,130.14
"Non-dispensing",27.79854336,279.42
"Non-dispensing",21.23460995,157.14
"Non-dispensing",16.74002926,153.92
"Non-dispensing",32.59337821,118.36
"Non-dispensing",28.15339541,150.46
"Non-dispensing",24.47848764,134.41
"Non-dispensing",22.68489482,167.97
"Non-dispensing",26.03199383,126.11
"Non-dispensing",29.41202554,155.48
"Non-dispensing",13.33491369,125.52
"Non-dispensing",12.6340271,137.44
"Non-dispensing",21.83621193,144.09
"Non-dispensing",15.40875089,153.51
"Non-dispensing",15.21064579,146.38
"Non-dispensing",13.52549051,163.39
"Non-dispensing",22.99168254,128.47
"Non-dispensing",24.0009449,131.9
"Non-dispensing",25.50864669,143.34
"Non-dispensing",22.8152429,137.39
"Non-dispensing",22.82908424,127.88
"Non-dispensing",30.31520305,160.04
"Non-dispensing",21.28736431,125.83
"Non-dispensing",13.74936643,163.16
"Non-dispensing",31.95345095,174.79
"Non-dispensing",22.43534907,133.79
"Non-dispensing",21.26584581,124.48
"Non-dispensing",14.21830983,143.97
"Non-dispensing",26.33700141,172.61
"Non-dispensing",22.72704703,153.91
"Non-dispensing",21.2017739,150.78
"Non-dispensing",23.00435668,147.7
"Non-dispensing",24.99487638,121.77
"Non-dispensing",24.54770986,172.56
"Non-dispensing",25.12899797,122.13
"Non-dispensing",21.42311088,195.07
"Non-dispensing",25.63023388,174.01
"Non-dispensing",21.14801793,143.7
"Non-dispensing",25.69730408,194.18
"Non-dispensing",17.42542926,155.85
"Non-dispensing",26.71234789,123.26
"Non-dispensing",18.37813412,151.59
"Non-dispensing",9.961991528,147.16
"Non-dispensing",25.1465014,21.51
"Non-dispensing",26.42984482,129.51
"Non-dispensing",13.46552972,154.99
"Non-dispensing",9.716953663,136.36
"Non-dispensing",18.20314372,130.54
"Non-dispensing",16.16016669,153.67
"Non-dispensing",27.49150682,134.33
"Non-dispensing",9.143223285,160.63
"Non-dispensing",8.464001544,135.9
"Non-dispensing",9.154372836,154.3
"Non-dispensing",17.52338365,153.45
"Non-dispensing",20.81931829,127.53
"Non-dispensing",23.79807297,125.94
"Non-dispensing",26.57934255,145.9
"Non-dispensing",24.24319851,147.27
"Non-dispensing",26.40704105,128.24
"Non-dispensing",8.575457586,145.13
"Non-dispensing",8.356693513,145.99
"Non-dispensing",22.6360946,120.99
"Non-dispensing",27.68202759,136.75
"Non-dispensing",7.596172871,180.54
"Non-dispensing",21.87376444,155.09
"Non-dispensing",13.18459135,138.81
"Non-dispensing",8.7244565,146.71
"Non-dispensing",20.00618157,155.67
"Non-dispensing",11.97793871,141.93
"Non-dispensing",21.56185195,136.44
"Non-dispensing",13.566728,134.49
"Non-dispensing",26.82296751,133.65
"Non-dispensing",12.05528922,143.68
"Non-dispensing",23.93784342,157.52
"Non-dispensing",26.45839205,132.81
"Non-dispensing",22.94472714,148.11
"Non-dispensing",14.57570011,143.01
"Non-dispensing",13.55028491,140.77
"Non-dispensing",7.249462017,141.49
"Non-dispensing",21.99483696,151.2
"Non-dispensing",26.72711483,148.2
"Non-dispensing",9.748240343,153.83
"Non-dispensing",12.67288782,122.88
"Non-dispensing",16.2207071,139.63
"Non-dispensing",23.36867157,132.8
"Non-dispensing",9.414417756,142.16
"Non-dispensing",18.88636608,161.22
"Non-dispensing",32.47035344,158.12
"Non-dispensing",19.56026988,165.03
"Non-dispensing",15.56114825,168.53
"Non-dispensing",24.38952472,157.76
"Non-dispensing",22.71055009,69.82
"Non-dispensing",32.83093183,143.43
"Non-dispensing",20.15766867,142.09
"Non-dispensing",17.47654569,164.18
"Non-dispensing",34.1307996,128.59
"Non-dispensing",14.09707511,177.32
"Non-dispensing",16.0398344,183.49
"Non-dispensing",29.00096374,164.38
"Non-dispensing",39.68572981,163.46
"Non-dispensing",34.91330895,188.12
"Non-dispensing",23.55457057,171.42
"Non-dispensing",21.28614787,138.84
"Non-dispensing",18.11963854,119.94
"Non-dispensing",29.36597071,173.94
"Non-dispensing",13.55332056,196.52
"Non-dispensing",25.96220916,140.76
"Non-dispensing",17.37784361,129.97
"Non-dispensing",24.64343733,195.4
"Non-dispensing",14.39804717,147.43
"Non-dispensing",29.35057959,154.04
"Non-dispensing",17.40457503,268.18
"Non-dispensing",22.73081589,161.76
"Non-dispensing",32.22091455,207.41
"Non-dispensing",18.29072665,155.95
"Non-dispensing",32.43155796,141.82
"Non-dispensing",22.30044114,137.33
"Non-dispensing",16.05239808,139.75
"Non-dispensing",11.66394508,132.91
"Non-dispensing",26.55265305,167.06
"Non-dispensing",12.94086713,163.75
"Non-dispensing",22.57191927,127.04
"Non-dispensing",15.86408705,156.84
"Non-dispensing",15.9541844,136.26
"Non-dispensing",20.59899393,138.25
"Non-dispensing",18.69018605,105.33
"Non-dispensing",10.54130651,103.9
"Non-dispensing",14.8016661,178.2
"Non-dispensing",12.79997592,203.53
"Non-dispensing",36.44016155,165.06
"Non-dispensing",23.71060807,142.58
"Non-dispensing",13.21736161,167.66
"Non-dispensing",19.7858986,204.92
"Non-dispensing",14.9110641,172.52
"Non-dispensing",36.85789466,153.43
"Non-dispensing",12.91723308,140.98
"Non-dispensing",13.79034001,176.17
"Non-dispensing",21.34152624,149.18
"Non-dispensing",21.12758609,282.6
"Non-dispensing",29.43831704,133.62
"Non-dispensing",38.08424554,175.73
"Non-dispensing",12.58470344,126.29
"Non-dispensing",21.59567731,172.3
"Non-dispensing",22.96932791,179.24
"Non-dispensing",30.37064045,173.04
"Non-dispensing",19.56189128,125.57
"Non-dispensing",14.32167459,145.38
"Non-dispensing",30.47466082,131.06
"Non-dispensing",24.78350893,153.71
"Non-dispensing",22.13220298,152.11
"Non-dispensing",22.46920959,113.05
"Non-dispensing",10.27411876,153.23
"Non-dispensing",29.29328444,152.79
"Dispensing",10.67405487,242.17
"Non-dispensing",36.75603932,132.17
"Non-dispensing",17.64469587,128.45
"Dispensing",8.118856511,202.99
"Non-dispensing",25.78127658,126.81
"Non-dispensing",9.683701964,146.48
"Non-dispensing",12.49958671,141.66
"Non-dispensing",7.408207133,130.03
"Non-dispensing",17.55577569,187.87
"Dispensing",8.187811091,270.78
"Non-dispensing",28.03706,129.64
"Dispensing",28.89313973,155.58
"Dispensing",13.82524373,297.97
"Non-dispensing",20.96299865,145.44
"Dispensing",15.37062353,173.97
"Non-dispensing",10.56716079,147.53
"Non-dispensing",14.93242181,164.61
"Non-dispensing",27.35350973,123.51
"Non-dispensing",19.47954938,150.28
"Non-dispensing",23.15809637,148.52
"Non-dispensing",7.677449789,150.32
"Non-dispensing",21.65610526,128.78
"Dispensing",15.69761892,178.4
"Non-dispensing",34.89529518,121.69
"Non-dispensing",11.4222298,128.07
"Dispensing",8.205650662,229.49
"Non-dispensing",12.91092286,143.53
"Non-dispensing",45.31723742,142.32
"Non-dispensing",11.43789162,153.28
"Dispensing",13.90714099,287.25
"Non-dispensing",14.29599244,139.46
"Non-dispensing",21.8287872,147.55
"Non-dispensing",14.58762741,128.68
"Dispensing",14.06479921,254.22
"Non-dispensing",7.771658477,139.75
"Non-dispensing",17.26012751,151.46
"Non-dispensing",23.21588704,147.32
"Non-dispensing",14.22677306,148.41
"Dispensing",17.0142228,200.89
"Non-dispensing",26.05196887,118.92
"Non-dispensing",39.19166729,142.42
"Non-dispensing",8.072286912,154.33
"Non-dispensing",7.892902474,133.46
"Non-dispensing",15.17267379,150.14
"Non-dispensing",12.84867222,148.49
"Non-dispensing",31.17102449,122.47
"Non-dispensing",9.782962904,139.18
"Non-dispensing",14.5101942,134.43
"Non-dispensing",10.28879368,128.6
"Non-dispensing",6.60984107,164.58
"Non-dispensing",13.5271705,154.87
"Non-dispensing",16.41703381,162.47
"Dispensing",13.84539157,196.89
"Non-dispensing",12.48596414,144.29
"Non-dispensing",12.95511849,129.2
"Non-dispensing",12.25378513,132.32
"Dispensing",11.39749915,196.04
"Non-dispensing",13.095355,136.77
"Non-dispensing",7.104408996,133.06
"Non-dispensing",33.82536716,145.51
"Non-dispensing",17.48958154,112.96
"Non-dispensing",12.53416654,165.63
"Non-dispensing",11.81226814,128.53
"Non-dispensing",27.49059583,133.41
"Dispensing",16.65978461,170.47
"Non-dispensing",15.8800676,126.16
"Dispensing",14.69042065,156.43
"Dispensing",11.11279812,180.74
"Non-dispensing",22.07519408,142.58
"Non-dispensing",17.94338792,125.18
"Dispensing",24.9753677,148.29
"Non-dispensing",24.21133175,149.99
"Non-dispensing",24.53212674,160.65
"Dispensing",13.18103805,179.99
"Dispensing",15.45889328,164.82
"Dispensing",9.55400116,179.5
"Non-dispensing",9.8224181,125.54
"Non-dispensing",7.648004502,126.13
"Non-dispensing",12.17114088,147.46
"Dispensing",10.5021002,245.37
"Non-dispensing",23.49603259,141.72
"Non-dispensing",29.9564937,130.94
"Non-dispensing",30.06557198,154.8
"Dispensing",7.136336233,237.28
"Non-dispensing",8.214952306,146.34
"Non-dispensing",10.28292757,132.63
"Dispensing",13.54838537,181.46
"Dispensing",15.07342726,162.01
"Dispensing",17.03885905,163.04
"Non-dispensing",12.83426029,205.92
"Dispensing",10.53204315,196.75
"Dispensing",12.39861829,214.12
"Non-dispensing",23.6223485,151.61
"Non-dispensing",13.97675896,118.87
"Non-dispensing",17.81353042,149.16
"Non-dispensing",8.112630149,153.35
"Non-dispensing",7.158064999,142.97
"Dispensing",13.74836771,159.7
"Non-dispensing",14.84808944,290.88
"Dispensing",16.4461144,203.54
"Dispensing",10.67126831,207.96
"Dispensing",16.00394021,168.94
"Non-dispensing",12.14961264,134.66
"Dispensing",22.28913504,159.96
"Non-dispensing",15.03196106,126.68
"Dispensing",14.54634567,183.27
"Dispensing",13.67377016,225.26
"Non-dispensing",10.57721105,145.82
"Non-dispensing",11.93570194,157.09
"Non-dispensing",25.42125495,161.28
"Dispensing",11.38377793,167.05
"Non-dispensing",30.01008945,115.82
"Non-dispensing",18.02515889,134.66
"Non-dispensing",15.00826734,143.52
"Non-dispensing",17.03594974,127.82
"Non-dispensing",45.05024135,178.78
"Non-dispensing",37.10218723,125.6
"Non-dispensing",37.80486467,125.83
"Non-dispensing",11.04344531,133.13
"Non-dispensing",25.76461222,147.04
"Non-dispensing",8.205180114,150.29
"Non-dispensing",7.757441974,160.35
"Non-dispensing",8.44962062,161.87
"Non-dispensing",18.67757087,167.5
"Non-dispensing",29.93029618,126.9
"Non-dispensing",16.75225409,471.63
"Non-dispensing",24.12908377,130.1
"Dispensing",15.65208293,226.76
"Non-dispensing",18.49852886,143.41
"Non-dispensing",35.93456055,125.68
"Non-dispensing",18.16286235,134.07
"Non-dispensing",17.28022078,142.69
"Non-dispensing",27.93687072,133.45
"Dispensing",12.63254593,209.87
"Non-dispensing",24.93004452,126.93
"Non-dispensing",37.02145808,184.29
"Non-dispensing",30.34181572,114.93
"Non-dispensing",19.05222279,141.67
"Non-dispensing",48.16077821,145.7
"Dispensing",21.79746649,156.76
"Dispensing",9.637984421,184.39
"Non-dispensing",12.25869084,136.38
"Non-dispensing",21.43264809,121.49
"Non-dispensing",16.73655626,141.68
"Dispensing",28.7488289,134.7
"Non-dispensing",9.436234074,125.65
"Non-dispensing",17.74722523,141.09
"Dispensing",21.2122756,259.33
"Non-dispensing",25.13623483,119.21
"Non-dispensing",10.58757248,146.82
"Non-dispensing",24.10670597,142.31
"Non-dispensing",20.42716555,130.67
"Non-dispensing",28.31065148,122.93
"Dispensing",15.01368685,218.48
"Non-dispensing",17.10091138,125.6
"Dispensing",12.73734415,181.37
"Non-dispensing",32.85598108,127.92
"Non-dispensing",19.78887238,130.24
"Non-dispensing",36.96834157,126.12
"Non-dispensing",22.88413022,122.7
"Non-dispensing",13.87714697,126.6
"Non-dispensing",30.81047774,126.26
"Non-dispensing",36.3480433,125.12
"Non-dispensing",8.880620377,149.16
"Non-dispensing",20.5372682,148.54
"Non-dispensing",28.68079394,134.13
"Dispensing",11.54669313,204.27
"Non-dispensing",11.97797809,194.64
"Non-dispensing",15.95628034,139.53
"Non-dispensing",41.00298411,165.46
"Non-dispensing",16.11545093,154.95
"Non-dispensing",25.1007741,149.69
"Dispensing",19.31673861,202.84
"Non-dispensing",17.99641176,119.22
"Non-dispensing",17.13470309,139.82
"Non-dispensing",24.83800045,134.12
"Non-dispensing",7.680905327,132.58
"Non-dispensing",36.92872904,117.9
"Non-dispensing",35.0351818,120.2
"Non-dispensing",30.7104382,497.8
"Non-dispensing",11.36076536,174.89
"Non-dispensing",13.82137403,166.56
"Non-dispensing",18.55955459,147.3
"Non-dispensing",29.0724527,120.13
"Dispensing",10.25677391,158.61
"Non-dispensing",14.72374025,135.4
"Non-dispensing",13.05561998,126.6
"Non-dispensing",25.02699908,158.07
"Non-dispensing",24.90597122,134.59
"Non-dispensing",34.87927267,133.41
"Non-dispensing",12.76515244,148.02
"Non-dispensing",15.76935855,140.76
"Non-dispensing",21.26481424,131.44
"Dispensing",13.12932158,163
"Dispensing",14.58885401,208.66
"Non-dispensing",34.62761252,139.51
"Non-dispensing",7.894964218,141.33
"Non-dispensing",28.87432778,122.93
"Non-dispensing",35.71379824,178.59
"Non-dispensing",6.995721011,150.05
"Non-dispensing",14.29162292,135.78
"Non-dispensing",13.26108207,145.35
"Non-dispensing",18.78830262,141.55
"Non-dispensing",28.83870746,140.01
"Non-dispensing",20.14862129,160.62
"Non-dispensing",34.03666382,116.72
"Non-dispensing",14.08375421,143.4
"Non-dispensing",30.10304911,152.06
"Non-dispensing",35.47893489,136.17
"Non-dispensing",30.77924973,148.34
"Non-dispensing",33.61697245,177.61
"Non-dispensing",26.26615777,148.49
"Non-dispensing",23.34629402,202.87
"Non-dispensing",11.32998012,137.04
"Non-dispensing",15.15174458,143.82
"Non-dispensing",18.32421386,130.15
"Non-dispensing",33.17950238,122.96
"Non-dispensing",21.7160411,134.94
"Non-dispensing",17.24224988,140.45
"Non-dispensing",19.69781162,128.06
"Non-dispensing",24.59766313,150.46
"Non-dispensing",9.850995236,141.63
"Non-dispensing",31.68770974,304.19
"Non-dispensing",31.23099028,150.35
"Non-dispensing",21.80496458,162.14
"Non-dispensing",35.20630847,182.38
"Non-dispensing",34.5350127,145.23
"Non-dispensing",15.86051286,117.74
"Non-dispensing",33.69971673,139.64
"Non-dispensing",8.32090625,328.87
"Non-dispensing",10.48586728,132.1
"Non-dispensing",35.80259814,185.89
"Non-dispensing",18.39707576,146.23
"Non-dispensing",10.72933118,136.48
"Non-dispensing",17.77068287,135.65
"Non-dispensing",26.6538248,129.87
"Non-dispensing",20.69891897,123.37
"Non-dispensing",29.97692111,122.85
"Non-dispensing",9.674189887,141.48
"Non-dispensing",30.14270413,171.57
"Non-dispensing",22.69359646,99.69
"Non-dispensing",20.37496221,134.58
"Non-dispensing",33.23511867,156.32
"Non-dispensing",21.39129133,131.97
"Non-dispensing",34.736492,157.79
"Non-dispensing",27.93432051,122.81
"Non-dispensing",28.9878895,125.87
"Non-dispensing",16.82398601,133.54
"Non-dispensing",30.40557124,137.47
"Non-dispensing",33.57799663,132.87
"Non-dispensing",29.08502347,132.31
"Non-dispensing",16.90891473,126.14
"Non-dispensing",11.75513425,131.34
"Non-dispensing",31.1701842,171.88
"Non-dispensing",29.41365697,127.09
"Non-dispensing",8.423503197,172.08
"Non-dispensing",10.07631717,142.62
"Non-dispensing",33.1144994,148.83
"Non-dispensing",33.24062882,137.14
"Non-dispensing",29.0757316,126.05
"Non-dispensing",31.08020263,137.84
"Non-dispensing",23.81286163,170.33
"Non-dispensing",29.0996056,129.63
