"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Non-dispensing",20.39322553,160.43
"Non-dispensing",19.2427999,171.64
"Non-dispensing",28.46756436,179.98
"Non-dispensing",27.06834726,144.65
"Non-dispensing",20.81830858,140.81
"Non-dispensing",12.15742604,147.93
"Non-dispensing",41.93922984,150.5
"Dispensing",22.05548735,273.27
"Dispensing",13.7635523,316.66
"Non-dispensing",32.28503773,148.26
"Non-dispensing",10.92339406,155.58
"Non-dispensing",27.80800851,151.98
"Non-dispensing",13.6341306,178.02
"Non-dispensing",33.50455695,144.43
"Non-dispensing",29.62419112,152.73
"Non-dispensing",29.30454671,160.04
"Non-dispensing",34.2427697,148.72
"Non-dispensing",39.57074182,149.53
"Dispensing",22.26005109,161.61
"Dispensing",24.4442419,216.55
"Non-dispensing",41.5638028,151.01
"Dispensing",25.95400061,308.96
"Dispensing",32.24967499,314.03
"Non-dispensing",35.44039273,158.82
"Non-dispensing",37.31337609,157.05
"Non-dispensing",20.12189781,138.35
"Non-dispensing",25.8918776,148.83
"Non-dispensing",29.12166208,149.28
"Non-dispensing",38.10310918,214.98
"Non-dispensing",33.33594104,163.07
"Non-dispensing",16.63894949,138.21
"Non-dispensing",23.54605016,134.3
"Dispensing",15.01503338,182
"Dispensing",8.739824692,167.91
"Dispensing",21.45775128,217.31
"Non-dispensing",36.93094062,153.2
"Dispensing",8.853483541,187.94
"Dispensing",30.41736482,152.07
"Non-dispensing",34.44271039,145.65
"Non-dispensing",13.39918114,154.33
"Dispensing",10.34350745,201.54
"Non-dispensing",26.69204959,160.84
"Non-dispensing",23.86529827,147.52
"Non-dispensing",13.27432044,180.36
"Non-dispensing",24.94460944,150.03
"Non-dispensing",22.35307978,169.81
"Non-dispensing",17.86580214,149.66
"Non-dispensing",33.06413324,147.52
"Dispensing",19.54528453,231.7
"Non-dispensing",21.40992634,190.76
"Non-dispensing",13.90738002,164.78
"Dispensing",20.09015887,321.17
