"Practice.Code","ICB.NAME","IMD","IMD_quintile"
"A85018","North East and North Cumbria",25.27564612,4
"A85019","North East and North Cumbria",36.9040912,5
"A85020","North East and North Cumbria",15.27350806,2
"A85021","North East and North Cumbria",35.5265895,5
"A85023","North East and North Cumbria",36.78639149,5
"A85024","North East and North Cumbria",35.89615024,5
"A85026","North East and North Cumbria",33.01888093,5
"A85611","North East and North Cumbria",24.07456631,3
"A85614","North East and North Cumbria",35.43650084,5
"A85616","North East and North Cumbria",20.12720209,3
"A85617","North East and North Cumbria",16.01248257,2
"A85620","North East and North Cumbria",16.53773659,2
"A86003","North East and North Cumbria",25.96558846,4
"A86004","North East and North Cumbria",42.38999102,5
"A86005","North East and North Cumbria",25.43893875,4
"A86006","North East and North Cumbria",13.88013554,2
"A86007","North East and North Cumbria",10.20541899,1
"A86008","North East and North Cumbria",22.28173869,3
"A86010","North East and North Cumbria",18.18021885,2
"A86011","North East and North Cumbria",51.65438949,5
"A86012","North East and North Cumbria",40.09562512,5
"A86013","North East and North Cumbria",35.96570398,5
"A86016","North East and North Cumbria",15.9451398,2
"A86017","North East and North Cumbria",49.06542295,5
"A86018","North East and North Cumbria",11.31010424,1
"A86020","North East and North Cumbria",9.070967219,1
"A86021","North East and North Cumbria",37.96354536,5
"A86022","North East and North Cumbria",20.75089697,3
"A86023","North East and North Cumbria",34.62080983,5
"A86024","North East and North Cumbria",39.59174729,5
"A86025","North East and North Cumbria",40.50885919,5
"A86026","North East and North Cumbria",29.33572562,4
"A86027","North East and North Cumbria",23.11119474,3
"A86028","North East and North Cumbria",18.27416829,3
"A86029","North East and North Cumbria",38.54524126,5
"A86030","North East and North Cumbria",40.50295755,5
"A86031","North East and North Cumbria",34.60042102,5
"A86033","North East and North Cumbria",9.327367122,1
"A86035","North East and North Cumbria",17.34584724,2
"A86036","North East and North Cumbria",13.39327023,2
"A86037","North East and North Cumbria",51.80747859,5
"A86038","North East and North Cumbria",32.01381591,4
"A86040","North East and North Cumbria",58.84881006,5
"A86041","North East and North Cumbria",16.86608463,2
"A86601","North East and North Cumbria",31.77981584,4
"A87002","North East and North Cumbria",29.92628672,4
"A87003","North East and North Cumbria",29.3110332,4
"A87004","North East and North Cumbria",27.87734053,4
"A87005","North East and North Cumbria",13.3463563,2
"A87006","North East and North Cumbria",11.62831328,1
"A87007","North East and North Cumbria",17.50068753,2
"A87008","North East and North Cumbria",10.85634401,1
"A87009","North East and North Cumbria",21.77109972,3
"A87011","North East and North Cumbria",9.989522663,1
"A87012","North East and North Cumbria",21.46008715,3
"A87013","North East and North Cumbria",32.52170422,4
"A87016","North East and North Cumbria",28.10961325,4
"A87017","North East and North Cumbria",15.56602483,2
"A87019","North East and North Cumbria",30.45632488,4
"A87020","North East and North Cumbria",10.09227049,1
"A87022","North East and North Cumbria",20.89033697,3
"A87023","North East and North Cumbria",20.9969575,3
"A87029","North East and North Cumbria",29.83574709,4
"A87030","North East and North Cumbria",44.01188062,5
"A87600","North East and North Cumbria",13.87380073,2
"A87612","North East and North Cumbria",18.58011393,3
"A87615","North East and North Cumbria",18.35943956,3
"A88001","North East and North Cumbria",30.3988818,4
"A88002","North East and North Cumbria",35.71636238,5
"A88003","North East and North Cumbria",28.8749698,4
"A88004","North East and North Cumbria",33.75971732,5
"A88005","North East and North Cumbria",38.81021186,5
"A88006","North East and North Cumbria",38.50131991,5
"A88007","North East and North Cumbria",32.47897689,4
"A88008","North East and North Cumbria",37.75648574,5
"A88009","North East and North Cumbria",20.40025449,3
"A88010","North East and North Cumbria",33.4981489,5
"A88012","North East and North Cumbria",32.0606872,4
"A88013","North East and North Cumbria",32.01654786,4
"A88014","North East and North Cumbria",38.15799107,5
"A88015","North East and North Cumbria",37.67224973,5
"A88016","North East and North Cumbria",19.51594951,3
"A88022","North East and North Cumbria",30.28993606,4
"A88023","North East and North Cumbria",16.60391191,2
"A88025","North East and North Cumbria",35.24250398,5
"A88601","North East and North Cumbria",29.99296205,4
"A88608","North East and North Cumbria",33.80232512,5
"A88613","North East and North Cumbria",35.88153756,5
"A89001","North East and North Cumbria",39.27753943,5
"A89002","North East and North Cumbria",44.44218896,5
"A89004","North East and North Cumbria",36.04943669,5
"A89005","North East and North Cumbria",32.30403714,4
"A89006","North East and North Cumbria",34.82466859,5
"A89007","North East and North Cumbria",31.60547903,4
"A89008","North East and North Cumbria",41.3140159,5
"A89009","North East and North Cumbria",24.69319225,4
"A89010","North East and North Cumbria",26.23961715,4
"A89011","North East and North Cumbria",25.70279852,4
"A89012","North East and North Cumbria",26.33479422,4
"A89013","North East and North Cumbria",38.56377841,5
"A89015","North East and North Cumbria",12.92839652,2
"A89016","North East and North Cumbria",25.49360384,4
"A89017","North East and North Cumbria",33.96603701,5
"A89018","North East and North Cumbria",38.53452906,5
"A89019","North East and North Cumbria",42.07902267,5
"A89020","North East and North Cumbria",32.74148845,4
"A89021","North East and North Cumbria",27.67945815,4
"A89022","North East and North Cumbria",26.33482209,4
"A89023","North East and North Cumbria",28.23423031,4
"A89024","North East and North Cumbria",33.50949514,5
"A89025","North East and North Cumbria",31.36002127,4
"A89026","North East and North Cumbria",27.98442529,4
"A89027","North East and North Cumbria",34.54619445,5
"A89028","North East and North Cumbria",23.07776435,3
"A89030","North East and North Cumbria",27.20472474,4
"A89031","North East and North Cumbria",32.42460492,4
"A89032","North East and North Cumbria",24.46313427,3
"A89034","North East and North Cumbria",28.72646999,4
"A89035","North East and North Cumbria",26.50622807,4
"A89036","North East and North Cumbria",35.02320333,5
"A89040","North East and North Cumbria",27.39945903,4
"A89041","North East and North Cumbria",35.73238728,5
"A89614","North East and North Cumbria",30.72931824,4
"A89616","North East and North Cumbria",19.3426872,3
"A89617","North East and North Cumbria",26.65821,4
"A89623","North East and North Cumbria",27.87556852,4
"B81002","Humber and North Yorkshire",47.92311513,5
"B81003","Humber and North Yorkshire",24.44693676,3
"B81004","Humber and North Yorkshire",20.47004724,3
"B81005","Humber and North Yorkshire",18.70618039,3
"B81006","Humber and North Yorkshire",30.63436174,4
"B81007","Humber and North Yorkshire",17.11146918,2
"B81008","Humber and North Yorkshire",37.75500657,5
"B81009","Humber and North Yorkshire",9.685370794,1
"B81010","Humber and North Yorkshire",12.44083468,1
"B81011","Humber and North Yorkshire",38.36144194,5
"B81012","Humber and North Yorkshire",42.13016465,5
"B81013","Humber and North Yorkshire",22.74630643,3
"B81014","Humber and North Yorkshire",33.15549234,5
"B81015","Humber and North Yorkshire",31.60039133,4
"B81016","Humber and North Yorkshire",36.5964181,5
"B81017","Humber and North Yorkshire",52.79609601,5
"B81018","Humber and North Yorkshire",52.42807327,5
"B81020","Humber and North Yorkshire",31.79551385,4
"B81022","Humber and North Yorkshire",19.02450216,3
"B81023","Humber and North Yorkshire",35.45883285,5
