"Practice.Code","prop65","IMD","Practice.Rurality"
"A86018",24.61016,11.31010424,"Urban"
"A86020",16.10119,9.070967219,"Urban"
"A86021",19.95916,37.96354536,"Urban"
"A86022",24.19317,20.75089697,"Urban"
"A86023",17.27988,34.62080983,"Urban"
"A86024",12.00529,39.59174729,"Urban"
"A86026",21.32384,29.33572562,"Urban"
"A86027",1.06762,23.11119474,"Urban"
"A86028",18.05441,18.27416829,"Urban"
"A86029",11.96103,38.54524126,"Urban"
"A86030",14.54594,40.50295755,"Urban"
"A86031",11.89503,34.60042102,"Urban"
"A86033",11.82423,9.327367122,"Urban"
"A86038",20.24138,32.01381591,"Urban"
"A86041",18.03328,16.86608463,"Urban"
"A86601",19.72727,31.77981584,"Urban"
"A87002",25.09659,29.92628672,"Urban"
"A87004",21.79922,27.87734053,"Urban"
"A87005",26.48971,13.3463563,"Urban"
"A87006",27.77968,11.62831328,"Urban"
"A87007",19.8965,17.50068753,"Urban"
"A87008",19.43281,10.85634401,"Urban"
"A87009",19.88993,21.77109972,"Urban"
"A87011",25.22359,9.989522663,"Urban"
"A87013",19.37077,32.52170422,"Urban"
"A87016",18.10423,28.10961325,"Urban"
"A87019",21.67722,30.45632488,"Urban"
"A87020",24.6065,10.09227049,"Urban"
"A87022",12.65795,20.89033697,"Urban"
"A87023",20.29164,20.9969575,"Urban"
"A87029",18.83216,29.83574709,"Urban"
"A87030",11.82925,44.01188062,"Urban"
"A87600",20.79411,13.87380073,"Urban"
"A87612",19.06888,18.58011393,"Urban"
"A87615",20.06344,18.35943956,"Urban"
"A88001",20.0277,30.3988818,"Urban"
"A88002",19.7269,35.71636238,"Urban"
"A88003",22.79822,28.8749698,"Urban"
"A88004",18.79879,33.75971732,"Urban"
"A88005",19.18656,38.81021186,"Urban"
"A88006",21.8302,38.50131991,"Urban"
"A88007",20.27644,32.47897689,"Urban"
"A88008",20.96624,37.75648574,"Urban"
"A88009",23.31715,20.40025449,"Urban"
"A88010",24.55458,33.4981489,"Urban"
"A88012",20.14711,32.0606872,"Urban"
"A88013",18.17136,32.01654786,"Urban"
"A88022",16.5509,30.28993606,"Urban"
"A88023",25.49275,16.60391191,"Urban"
"A88025",24.22936,35.24250398,"Urban"
"A88601",21.81548,29.99296205,"Urban"
"A88608",20.97746,33.80232512,"Urban"
"A88613",21.58062,35.88153756,"Urban"
"A89002",13.9756,44.44218896,"Urban"
"A89004",23.05846,36.04943669,"Urban"
"A89005",24.47196,32.30403714,"Urban"
"A89006",13.9313,34.82466859,"Urban"
"A89007",19.31533,31.60547903,"Urban"
"A89008",17.11575,41.3140159,"Urban"
"A89009",18.99423,24.69319225,"Urban"
"A89010",23.6237,26.23961715,"Urban"
"A89011",20.49233,25.70279852,"Urban"
"A89012",21.23598,26.33479422,"Urban"
"A89013",22.43866,38.56377841,"Urban"
"A89015",27.42919,12.92839652,"Urban"
"A89016",20.43081,25.49360384,"Urban"
"A89018",19.70331,38.53452906,"Urban"
"A89019",19.15806,42.07902267,"Urban"
"A89020",16.8248,32.74148845,"Urban"
"A89021",20.58473,27.67945815,"Urban"
"A89022",24.81159,26.33482209,"Urban"
"A89023",21.72571,28.23423031,"Urban"
"A89024",20.9507,33.50949514,"Urban"
"A89026",22.61129,27.98442529,"Urban"
"A89027",17.21031,34.54619445,"Urban"
"A89028",21.50672,23.07776435,"Urban"
"A89030",21.74246,27.20472474,"Urban"
"A89031",13.47984,32.42460492,"Urban"
"A89034",10.96048,28.72646999,"Urban"
"A89035",19.40758,26.50622807,"Urban"
"A89036",19.02349,35.02320333,"Urban"
"A89040",23.61383,27.39945903,"Urban"
"A89041",15.96173,35.73238728,"Urban"
"A89614",18.16402,30.72931824,"Urban"
"A89616",20.98361,19.3426872,"Urban"
"A89623",16.75805,27.87556852,"Urban"
"B81006",34.2395,30.63436174,"Urban"
"B81011",17.39574,38.36144194,"Urban"
"B81013",16.69362,22.74630643,"Urban"
"B81018",13.80699,52.42807327,"Urban"
"B81020",21.33351,31.79551385,"Urban"
"B81022",26.13903,19.02450216,"Urban"
"B81024",31.24869,5.162133832,"Urban"
"B81026",16.55959,29.24441177,"Urban"
"B81032",8.61111,50.70257208,"Urban"
"B81035",19.55339,25.05536855,"Urban"
"B81037",29.27806,14.49184735,"Urban"
"B81038",22.0577,37.61123179,"Urban"
"B81040",15.45387,47.68408662,"Urban"
"B81042",27.92012,10.81367561,"Urban"
"B81045",21.37953,26.47947403,"Urban"
"B81046",15.64181,53.98658136,"Urban"
"B81048",16.48039,31.75028066,"Urban"
"B81051",31.62704,10.20205912,"Urban"
"B81052",10.37814,36.79824567,"Urban"
"B81058",16.63306,49.04415412,"Urban"
"B81064",20,25.50508619,"Urban"
"B81068",20.342,22.46214157,"Urban"
"B81074",19.04762,44.15273986,"Urban"
"B81075",26.21303,27.34722183,"Urban"
"B81082",23.5303,8.05051797,"Urban"
"B81085",21.38377,27.65893329,"Urban"
"B81090",16.74725,29.28757259,"Urban"
"B81092",26.48343,14.89404974,"Urban"
"B81095",30.73668,26.65419316,"Urban"
"B81097",17.1875,34.05560875,"Urban"
"B81100",32.12567,12.00474296,"Urban"
"B81101",23.86193,12.52569529,"Urban"
"B81104",3.85148,24.20539655,"Urban"
"B81112",16.72102,44.22659315,"Urban"
"B81113",18.48995,28.59115299,"Urban"
"B81119",13.55647,47.30826771,"Urban"
"B81616",19.19008,39.36382556,"Urban"
"B81617",11.12992,32.92923273,"Urban"
"B81619",22.84563,13.66523376,"Urban"
"B81635",28.29082,20.50158104,"Urban"
"B81648",18.97668,23.56707741,"Urban"
"B82010",22.50536,11.93434902,"Urban"
"B82014",21.38617,10.84984157,"Urban"
"B82016",18.59321,11.74886853,"Urban"
