"","PRAC_CODE","TOTAL_GP_HC","TOTAL_GP_FTE","Date"
"416","N82091","1","0.285714286","2309"
"417","N82107","1","0.533333333","2309"
"418","N82617","1","0.666666667","1909"
"419","N82623","1","0.8","1709"
"420","N82648","1","0.56","2309"
"421","N82651","1","0.25","2207"
"422","N82664","0","0","1809"
"423","N82669","1","1","2108"
"424","N82671","1","0.874320951","2106"
"425","N82678","1","0.986666667","1909"
"426","N83012","1","0.08","1709"
"427","N83015","1","0.8","2207"
"428","N83019","0","0","2301"
"429","N83031","1","0.8","2309"
"430","N83045","1","0.426666667","1709"
"431","N83054","1","0.72","2308"
"432","N83060","1","1","2106"
"433","N83605","1","1","1709"
"434","N83619","1","0.64","2309"
"435","N83620","1","0.666666667","2309"
"436","N83628","1","0.853333333","1709"
"437","N84618","1","0.56","2301"
"438","N84621","1","0.533333333","2308"
"439","N84627","1","0.053333333","2309"
"440","N84630","1","0.106666667","2309"
"441","N85006","1","0.533333333","1709"
"442","N85014","1","0.72","2109"
"443","N85022","1","1","2309"
"444","N85640","1","1","2309"
"445","P81004","1","0.8","2009"
"446","P81118","1","1","2307"
"447","P81121","1","1","1709"
"448","P81127","1","0.32","2302"
"449","P81147","1","0.32","2204"
"450","P81149","1","0.666666667","2309"
"451","P81157","1","0.64","2307"
"452","P81166","1","1","2309"
"453","P81646","1","0.16","2309"
"454","P81681","1","1","1709"
"455","P81685","1","1","2302"
"456","P81686","1","1","1709"
"457","P81687","1","0.493333333","2309"
"458","P81692","1","0.986666667","2309"
"459","P81694","1","1","1809"
"460","P81701","1","0.8","2204"
"461","P81721","1","0.666666667","2309"
"462","P81736","1","0.426666667","2309"
"463","P81738","1","0.8","2304"
"464","P81741","1","0.24","2302"
"465","P81750","0","0","1909"
"466","P81758","1","0.533333333","1809"
"467","P81763","0","0","1809"
"468","P81769","1","1","1909"
"469","P81770","1","0.533333333","2309"
"470","P81771","1","0.426666667","1809"
"471","P82609","1","0.426666667","1709"
"472","P82624","1","1","2309"
"473","P82629","1","1","2309"
"474","P82633","1","1","1709"
"475","P83027","1","0.986666667","2309"
