"Practice.Code","Year","TOTAL_PATIENTS","TOTAL_GP_EXTGL_HC","TOTAL_GP_EXTGL_FTE","IMD","IMD_quintile"
"A81016","2022",10649,3,2.4,44.48916704,"5"
"A81016","2023",11208.9166666667,3,2.4,44.48916704,"5"
"A81016","2024",11823,3,2.1,44.48916704,"5"
"A81017","2016",20876,8,6.9,18.97880051,"3"
"A81017","2017",20407,8,6.3,18.96940985,"3"
"A81017","2018",20012,8,5.8,18.96001919,"3"
"A81017","2019",19349,7,5.2,18.95062853,"3"
"A81017","2020",18937,8,6.2,18.95062853,"3"
"A81017","2021",18904.6666666667,8,6.2,18.95062853,"3"
"A81017","2022",18925.1,8,5.9,18.95062853,"3"
"A81017","2023",18890.5833333333,9,6.6,18.95062853,"3"
"A81017","2024",18720.2,9,6.5,18.95062853,"3"
"A81018","2016",5466,3,1.7,30.07030678,"4"
"A81018","2017",9282,4,3.2,30.59759683,"4"
"A81018","2018",10092,4,3.2,31.12488688,"4"
"A81018","2019",10149,4,3.4,31.65217693,"4"
"A81018","2020",10178,4,3.4,31.65217693,"4"
"A81018","2021",10065,5,3.9,31.65217693,"4"
"A81018","2022",10086.5,4,3.2,31.65217693,"4"
"A81018","2023",10189,4,3.4,31.65217693,"4"
"A81018","2024",10205.4,4,3.6,31.65217693,"4"
"A81019","2016",10439,6,3.5,49.8800737225,"5"
"A81019","2017",10249,6,4.3,50.265370365,"5"
"A81019","2018",9971,6,4.7,50.6506670075,"5"
"A81019","2019",9595,5,4,51.03596365,"5"
"A81019","2020",9234,6,4.6,51.03596365,"5"
"A81019","2021",9096.33333333333,5,3.4,51.03596365,"5"
"A81019","2022",9034,5,3.4,51.03596365,"5"
"A81019","2023",8887.83333333333,7,4.5,51.03596365,"5"
"A81019","2024",8901.4,8,5,51.03596365,"5"
"A81020","2016",7936,4,3.6,31.7900383375,"4"
"A81020","2017",7924,4,3.6,32.056954925,"4"
"A81020","2018",7662,4,3.5,32.3238715125,"4"
"A81020","2019",8021,4,2.9,32.5907881,"4"
"A81020","2020",8112,5,4.2,32.5907881,"4"
"A81020","2021",8120.66666666667,5,4,32.5907881,"4"
"A81020","2022",8060.1,4,3.6,32.5907881,"4"
"A81020","2023",7985.08333333333,5,3.3,32.5907881,"4"
"A81020","2024",7895.5,6,3.8,32.5907881,"4"
"A81021","2016",13181,8,7,35.25161099,"5"
"A81021","2017",13157,6,5.3,35.7500845,"5"
"A81021","2018",13478,7,5.2,36.24855801,"5"
"A81021","2019",13648,9,7,36.74703152,"5"
"A81021","2020",13571,8,6.1,36.74703152,"5"
"A81021","2021",13522,7,5.6,36.74703152,"5"
"A81021","2022",13562.4,7,5.4,36.74703152,"5"
"A81021","2023",13887.5833333333,6,4.9,36.74703152,"5"
"A81021","2024",20133.7,8,6.2,36.74703152,"5"
"A81022","2016",10772,6,5.9,27.8088412,"4"
"A81022","2017",10660,5,5.2,27.90744583,"4"
"A81022","2018",10513,5,4.5,28.00605046,"4"
"A81022","2019",10379,5,4.5,28.10465509,"4"
"A81022","2020",10187,5,4.6,28.10465509,"4"
"A81022","2021",9906.66666666667,6,5.6,28.10465509,"4"
"A81022","2022",9749,5,4.6,28.10465509,"4"
"A81022","2023",9624.75,6,5.2,28.10465509,"4"
"A81022","2024",9524.1,5,4.6,28.10465509,"4"
"A81023","2016",7674,7,4.2,46.65473623,"5"
"A81023","2017",7774,8,5.1,46.67857654,"5"
"A81023","2018",7749,7,4.8,46.70241685,"5"
"A81023","2019",7778,7,4.5,46.72625716,"5"
"A81023","2020",7745,7,4.1,46.72625716,"5"
"A81023","2021",7830,7,4,46.72625716,"5"
"A81023","2022",8318.9,4,3.3,46.72625716,"5"
"A81023","2023",8859.16666666667,5,3.5,46.72625716,"5"
"A81023","2024",9175.9,6,3.4,46.72625716,"5"
"A81025","2016",4161,2,2.1,32.9901284375,"4"
"A81025","2017",4108,2,2.1,33.509020405,"4"
"A81025","2018",4052,2,2.1,34.0279123725,"5"
"A81025","2019",4037,2,2.1,34.54680434,"5"
"A81025","2020",4097,2,2.1,34.54680434,"5"
"A81025","2021",4109.66666666667,2,2.1,34.54680434,"5"
"A81025","2022",4219.7,3,2.3,34.54680434,"5"
"A81025","2023",4323.16666666667,2,2.1,34.54680434,"5"
"A81025","2024",4296.7,2,2.1,34.54680434,"5"
"A81026","2016",13684,9,10.5,38.9578065475,"5"
"A81026","2017",13895,8,9.2,40.319172905,"5"
"A81026","2018",14156,9,7,41.6805392625,"5"
"A81026","2019",19272,11,7.8,43.04190562,"5"
"A81026","2020",19448,13,8.9,43.04190562,"5"
"A81026","2021",19796.3333333333,10,7,43.04190562,"5"
"A81026","2022",19918.5,10,6.8,43.04190562,"5"
"A81026","2023",20074.9166666667,11,6.9,43.04190562,"5"
"A81026","2024",20568.4,11,7.3,43.04190562,"5"
"A81027","2016",13227,6,5.8,8.30328973,"1"
"A81027","2017",13570,7,6.8,8.368285325,"1"
"A81027","2018",14149,6,6.1,8.43328092,"1"
"A81027","2019",14712,6,6,8.498276515,"1"
"A81027","2020",15257,6,6,8.498276515,"1"
"A81027","2021",15435,7,6.7,8.498276515,"1"
"A81027","2022",15697.4,8,7.8,8.498276515,"1"
"A81027","2023",15421,6,6.3,8.498276515,"1"
"A81027","2024",15042.7,6,5.8,8.498276515,"1"
"A81029","2016",5795,4,3.4,48.35371578,"5"
"A81029","2017",5738,4,3.4,48.47516631,"5"
"A81029","2018",5863,4,3.2,48.59661684,"5"
"A81029","2019",6263,4,3.3,48.71806737,"5"
"A81029","2020",6488,3,2.8,48.71806737,"5"
"A81029","2021",6750.66666666667,3,2.8,48.71806737,"5"
"A81029","2022",7030.1,3,2.6,48.71806737,"5"
"A81029","2023",7295,4,2.9,48.71806737,"5"
"A81029","2024",7445.6,4,3.1,48.71806737,"5"
"A81030","2016",12050,7,6.1,28.4053957775,"4"
"A81030","2017",12352,8,6.9,28.674821935,"4"
"A81030","2018",13020,10,7.1,28.9442480925,"4"
"A81030","2019",13728,10,6.9,29.21367425,"4"
"A81030","2020",14137,8,6.2,29.21367425,"4"
"A81030","2021",14348.3333333333,8,6.8,29.21367425,"4"
"A81030","2022",14482.6,9,6.6,29.21367425,"4"
"A81030","2023",14871.3333333333,9,6.7,29.21367425,"4"
"A81030","2024",15757.4,10,7.9,29.21367425,"4"
"A81031","2016",12757,9,7.1,35.7021575525,"5"
"A81031","2017",12738,9,7.2,36.258201605,"5"
"A81031","2018",12761,10,5.9,36.8142456575,"5"
"A81031","2019",12732,11,6.1,37.37028971,"5"
"A81031","2020",12864,11,6.1,37.37028971,"5"
"A81031","2021",12793,9,5.6,37.37028971,"5"
"A81031","2022",12935.6,8,4.9,37.37028971,"5"
"A81031","2023",13137.8333333333,9,5.4,37.37028971,"5"
"A81031","2024",13423.8,9,5.7,37.37028971,"5"
"A81032","2016",10531,7,4.4,19.445459125,"3"
"A81032","2017",10539,7,4.2,19.25500483,"3"
"A81032","2018",10717,8,5.2,19.064550535,"3"
"A81032","2019",10845,8,5.4,18.87409624,"3"
"A81032","2020",10956,8,5.4,18.87409624,"3"
"A81032","2021",11051.6666666667,8,5.4,18.87409624,"3"
"A81032","2022",11221,7,5,18.87409624,"3"
"A81032","2023",11294.1666666667,8,5.5,18.87409624,"3"
"A81032","2024",11330.4,8,5.6,18.87409624,"3"
"A81033","2016",3392,1,1.2,50.64070439,"5"
"A81033","2017",3336,1,1.2,50.64070439,"5"
"A81033","2018",3405,1,0.9,50.64070439,"5"
"A81034","2016",21811,10,9.1,21.042068945,"3"
"A81034","2017",21761,11,9.7,21.09605042,"3"
"A81034","2018",21806,11,9.7,21.150031895,"3"
"A81034","2019",21988,11,9.1,21.20401337,"3"
"A81034","2020",22170,11,9.3,21.20401337,"3"
"A81034","2021",22152.3333333333,11,9.4,21.20401337,"3"
"A81034","2022",21950.2,12,9.7,21.20401337,"3"
"A81034","2023",21649.5833333333,13,10.8,21.20401337,"3"
"A81034","2024",21176.2,13,12.6,21.20401337,"3"
"A81035","2016",10789,8,6.5,44.407458985,"5"
"A81035","2017",10456,4,3.9,44.77355134,"5"
"A81035","2018",10203,5,3.5,45.139643695,"5"
"A81035","2019",10384,5,3.5,45.50573605,"5"
"A81035","2020",10263,5,3.5,45.50573605,"5"
"A81035","2021",10110.6666666667,5,3.5,45.50573605,"5"
"A81035","2022",10061.1,5,2.5,45.50573605,"5"
"A81035","2023",10059,5,1.1,45.50573605,"5"
"A81035","2024",10118.3,6,1.4,45.50573605,"5"
"A81036","2016",17318,11,11.1,26.6096112225,"4"
"A81036","2017",17639,12,11.5,27.122730425,"4"
"A81036","2018",17649,11,7.8,27.6358496275,"4"
"A81036","2019",17755,10,7.4,28.14896883,"4"
"A81036","2020",17595,11,10.2,28.14896883,"4"
"A81036","2021",17486.3333333333,10,9.8,28.14896883,"4"
"A81036","2022",17405.7,11,10.1,28.14896883,"4"
"A81036","2023",17226.75,10,7.7,28.14896883,"4"
"A81036","2024",16901.9,11,8,28.14896883,"4"
"A81037","2016",7078,2,2,47.394796735,"5"
"A81037","2017",6887,2,2,47.33049367,"5"
"A81037","2018",6855,2,1.8,47.266190605,"5"
"A81037","2019",6856,2,1.8,47.20188754,"5"
"A81037","2020",6864,2,1.8,47.20188754,"5"
"A81037","2021",6971.33333333333,2,1.8,47.20188754,"5"
"A81037","2022",7188.3,3,2.4,47.20188754,"5"
"A81037","2023",7251.91666666667,4,2.6,47.20188754,"5"
"A81037","2024",7058.8,4,2.6,47.20188754,"5"
"A81038","2016",3319,2,2,48.2104835775,"5"
"A81038","2017",3328,2,2,48.423550165,"5"
"A81038","2018",3373,2,2,48.6366167525,"5"
"A81038","2019",3682,2,2,48.84968334,"5"
"A81038","2020",3728,2,2,48.84968334,"5"
"A81038","2021",3743.66666666667,2,2,48.84968334,"5"
"A81038","2022",3800,2,2,48.84968334,"5"
"A81038","2023",3824.5,2,2,48.84968334,"5"
"A81038","2024",3870.9,2,2,48.84968334,"5"
"A81039","2016",9234,6,4.4,9.45992643575,"1"
"A81039","2017",9692,7,5.4,9.5769340235,"1"
"A81039","2018",10025,7,4.9,9.69394161125,"1"
"A81039","2019",10341,7,4.9,9.810949199,"1"
"A81039","2020",10673,8,5.5,9.810949199,"1"
"A81039","2021",10920,8,5.5,9.810949199,"1"
"A81039","2022",11027.3,8,4.8,9.810949199,"1"
"A81039","2023",11336.5,7,4.9,9.810949199,"1"
"A81039","2024",11762.2,7,5.8,9.810949199,"1"
"A81040","2016",8555,5,4.3,23.7714660575,"3"
"A81040","2017",8654,5,4.3,23.900219455,"3"
"A81040","2018",8600,5,4.3,24.0289728525,"3"
"A81040","2019",8554,5,4.2,24.15772625,"3"
"A81040","2020",8541,5,4.2,24.15772625,"3"
"A81040","2021",8553.66666666667,4,3.8,24.15772625,"3"
"A81040","2022",8521.7,6,4.7,24.15772625,"3"
"A81040","2023",8509,5,4.1,24.15772625,"3"
"A81040","2024",8531.8,5,4.1,24.15772625,"3"
"A81041","2016",9112,5,4.3,34.552151445,"5"
"A81041","2017",9115,5,4.4,34.92559038,"5"
"A81041","2018",9167,5,4.4,35.299029315,"5"
"A81041","2019",9206,5,4.4,35.67246825,"5"
"A81041","2020",9274,5,4.4,35.67246825,"5"
"A81041","2021",9234.66666666667,5,4.6,35.67246825,"5"
"A81041","2022",9362.4,4,3.6,35.67246825,"5"
"A81041","2023",9409.16666666667,4,3.7,35.67246825,"5"
"A81041","2024",9441.7,5,4.1,35.67246825,"5"
"A81042","2016",6319,3,2.1,45.34546482,"5"
"A81042","2017",6597,5,3.4,45.05987918,"5"
"A81042","2018",10877,6,3,44.77429354,"5"
"A81042","2019",14014,8,4.2,44.4887079,"5"
"A81042","2020",14155,6,3.9,44.4887079,"5"
"A81042","2021",14220.6666666667,7,4.1,44.4887079,"5"
"A81042","2022",14375.5,5,3.4,44.4887079,"5"
"A81042","2023",14586.75,5,3.2,44.4887079,"5"
"A81042","2024",14858.3,7,4.5,44.4887079,"5"
"A81043","2016",8006,8,4.9,32.964860075,"4"
"A81043","2017",8026,6,3.6,33.60513086,"4"
"A81043","2018",8264,8,4,34.245401645,"5"
"A81043","2019",8514,6,2.8,34.88567243,"5"
"A81043","2020",8569,6,2.8,34.88567243,"5"
"A81043","2021",8656.66666666667,7,3.1,34.88567243,"5"
"A81043","2022",8698.5,6,2.9,34.88567243,"5"
"A81043","2023",8460.33333333333,6,3.2,34.88567243,"5"
"A81043","2024",6401,7,3.7,34.88567243,"5"
"A81044","2016",13917,5,5.3,31.6862645725,"4"
"A81044","2017",13634,5,4.7,32.752133095,"4"
"A81044","2018",19066,8,7.6,33.8180016175,"5"
"A81044","2019",18863,8,7.9,34.88387014,"5"
"A81044","2020",18761,8,7.9,34.88387014,"5"
"A81044","2021",18797.6666666667,7,7,34.88387014,"5"
"A81044","2022",18692.9,8,7.8,34.88387014,"5"
"A81044","2023",18728.4166666667,9,9,34.88387014,"5"
"A81044","2024",18887.7,9,9,34.88387014,"5"
"A81045","2016",7807,3,2.7,28.28459861,"4"
"A81045","2017",7705,3,2.6,28.96923114,"4"
"A81045","2018",7543,2,1.7,29.65386367,"4"
"A81045","2019",7321,3,2.7,30.3384962,"4"
"A81045","2020",7015,3,2.7,30.3384962,"4"
"A81045","2021",6569.66666666667,4,3.2,30.3384962,"4"
"A81045","2022",6387.1,4,3.2,30.3384962,"4"
"A81045","2023",6189.08333333333,3,2.7,30.3384962,"4"
"A81045","2024",6064.3,1,1,30.3384962,"4"
"A81046","2016",12817,7,5.3,29.6640217775,"4"
"A81046","2017",12792,7,5.3,30.265972835,"4"
"A81046","2018",12768,7,4.9,30.8679238925,"4"
"A81046","2019",12508,7,4.9,31.46987495,"4"
"A81046","2020",12411,7,4.9,31.46987495,"4"
"A81046","2021",12192.3333333333,7,4.7,31.46987495,"4"
"A81046","2022",12037.4,6,4.3,31.46987495,"4"
"A81046","2023",12101.5,7,5,31.46987495,"4"
"A81046","2024",12169.6,7,5.3,31.46987495,"4"
"A81047","2016",5630,5,2.9,14.13131362,"2"
"A81047","2017",5198,2,0.8,14.13131362,"2"
"A81048","2016",5062,5,3.8,16.026274905,"2"
"A81048","2017",5099,7,5.5,16.38708571,"2"
"A81048","2018",7031,7,4.1,16.747896515,"2"
"A81048","2019",7400,7,4.2,17.10870732,"2"
"A81048","2020",7292,9,4.9,17.10870732,"2"
"A81048","2021",7243,8,4.3,17.10870732,"2"
"A81048","2022",7178.1,6,3.3,17.10870732,"2"
"A81048","2023",7113.5,5,2.8,17.10870732,"2"
"A81048","2024",7037.6,6,2.3,17.10870732,"2"
"A81049","2016",5499,3,2.4,50.09070627,"5"
