"Practice.Code","Year","IMD_quintile","ICB.NAME","Life_Expectancy_Female","Life_Expectancy_Male"
"A81018",2017,4,"North East and North Cumbria",81.41143453,78.15672561
"A81018",2019,4,"North East and North Cumbria",81.3249093,78.24595248
"A81018",2020,4,"North East and North Cumbria",81.305,77.5996
"A81019",2010,5,"North East and North Cumbria",79.3692163791891,75.2739233426788
"A81019",2012,5,"North East and North Cumbria",79.625560791706,75.3249131412222
"A81019",2014,5,"North East and North Cumbria",NA,NA
"A81019",2017,5,"North East and North Cumbria",78.96953416,74.36253065
"A81019",2019,5,"North East and North Cumbria",78.71366021,74.22729457
"A81019",2020,5,"North East and North Cumbria",78.338,74.1626
"A81020",2010,4,"North East and North Cumbria",80.5228177737618,77.0052864303698
"A81020",2012,4,"North East and North Cumbria",81.2009767092412,77.7391495981333
"A81020",2014,4,"North East and North Cumbria",NA,NA
"A81020",2017,4,"North East and North Cumbria",80.74978798,76.36839611
"A81020",2019,4,"North East and North Cumbria",80.75432258,76.46526664
"A81020",2020,4,"North East and North Cumbria",80.1614,76.0109
"A81021",2010,4,"North East and North Cumbria",80.9604276236845,77.2632944209649
"A81021",2012,4,"North East and North Cumbria",80.9231820185104,77.0402932098765
"A81021",2014,5,"North East and North Cumbria",NA,NA
"A81021",2017,5,"North East and North Cumbria",81.16481659,76.46790169
"A81021",2019,5,"North East and North Cumbria",80.77586043,76.16383534
"A81021",2020,5,"North East and North Cumbria",80.0535,76.2347
"A81022",2010,4,"North East and North Cumbria",83.4115479053377,78.2280819671228
"A81022",2012,4,"North East and North Cumbria",84.313172147002,80.2509577795152
"A81022",2014,4,"North East and North Cumbria",82.8888930025916,79.0208177744586
"A81022",2017,4,"North East and North Cumbria",82.95168758,77.9598969
"A81022",2019,4,"North East and North Cumbria",84.20365383,79.35857753
"A81022",2020,4,"North East and North Cumbria",85.2183,79.1995
"A81023",2010,5,"North East and North Cumbria",79.4871079612545,74.8604610266033
"A81023",2012,5,"North East and North Cumbria",79.4920365886468,74.6223341079267
"A81023",2014,5,"North East and North Cumbria",NA,NA
"A81023",2017,5,"North East and North Cumbria",78.63862523,74.55910498
"A81023",2019,5,"North East and North Cumbria",78.99720717,74.02118735
"A81023",2020,5,"North East and North Cumbria",78.6025,73.1422
"A81025",2010,4,"North East and North Cumbria",80.4761147838523,75.733727180221
"A81025",2012,4,"North East and North Cumbria",80.9938057250118,75.9912174721189
"A81025",2014,4,"North East and North Cumbria",80.5466958211856,76.0295855169128
"A81025",2017,5,"North East and North Cumbria",79.61033802,75.88425857
"A81025",2019,5,"North East and North Cumbria",79.76528807,75.68990873
"A81025",2020,5,"North East and North Cumbria",79.5857,75.7474
"A81026",2010,5,"North East and North Cumbria",80.2356556380056,76.1039836355845
"A81026",2012,5,"North East and North Cumbria",80.3989361702128,76.4282091917591
"A81026",2014,5,"North East and North Cumbria",NA,NA
"A81026",2017,5,"North East and North Cumbria",79.18148339,75.16615575
"A81026",2019,5,"North East and North Cumbria",79.44238628,75.06590568
"A81026",2020,5,"North East and North Cumbria",79.3041,74.497
"A81027",2010,1,"North East and North Cumbria",83.9751528820643,80.6705345668946
"A81027",2012,1,"North East and North Cumbria",85.3780690931523,82.3581428571428
"A81027",2014,1,"North East and North Cumbria",86.0168720657277,83.6275946275946
"A81027",2017,1,"North East and North Cumbria",86.6911863,82.3213254
"A81027",2019,1,"North East and North Cumbria",85.96167736,81.29466256
"A81027",2020,1,"North East and North Cumbria",84.8813,81.75
"A81029",2010,5,"North East and North Cumbria",79.4453867851159,74.5429035831187
"A81029",2012,5,"North East and North Cumbria",79.1284028033936,74.052299202943
"A81029",2014,5,"North East and North Cumbria",NA,NA
"A81029",2017,5,"North East and North Cumbria",77.95344613,74.05145917
"A81029",2019,5,"North East and North Cumbria",78.20251264,73.30852967
"A81029",2020,5,"North East and North Cumbria",77.9453,72.3423
"A81030",2010,4,"North East and North Cumbria",81.8261299719393,78.0352704145134
"A81030",2012,4,"North East and North Cumbria",81.8529238754325,78.302240254013
"A81030",2014,4,"North East and North Cumbria",NA,NA
"A81030",2017,4,"North East and North Cumbria",81.33680332,77.0688059
"A81030",2019,4,"North East and North Cumbria",81.59554973,77.12010631
"A81030",2020,4,"North East and North Cumbria",81.3383,76.5751
"A81031",2010,4,"North East and North Cumbria",79.9222954977178,75.5983412214344
"A81031",2012,4,"North East and North Cumbria",81.4853365749886,76.7582985553773
"A81031",2014,5,"North East and North Cumbria",81.4726343101343,77.1751215559157
"A81031",2017,5,"North East and North Cumbria",81.64377686,76.37465427
"A81031",2019,5,"North East and North Cumbria",81.20837733,76.27957478
"A81031",2020,5,"North East and North Cumbria",81.4684,76.1214
"A81032",2010,2,"North East and North Cumbria",83.088162991192,79.8141662942098
"A81032",2012,3,"North East and North Cumbria",82.4201348567148,81.0074574280681
"A81032",2014,3,"North East and North Cumbria",82.3208558139535,81.4065768930523
"A81032",2017,3,"North East and North Cumbria",83.2447008,80.41320893
"A81032",2019,3,"North East and North Cumbria",83.77239226,79.37905966
"A81032",2020,3,"North East and North Cumbria",83.5103,79.5103
"A81034",2010,3,"North East and North Cumbria",80.5307991664627,77.1418164526262
"A81034",2012,3,"North East and North Cumbria",81.5603189319488,78.1959170326077
"A81034",2014,3,"North East and North Cumbria",80.9708592891169,78.5817603099917
"A81034",2017,3,"North East and North Cumbria",81.18735721,78.38866727
"A81034",2019,3,"North East and North Cumbria",81.13394993,NA
"A81035",2010,5,"North East and North Cumbria",79.6915089749079,75.1460591749241
"A81035",2012,5,"North East and North Cumbria",79.773003586936,75.2373282023089
"A81035",2014,5,"North East and North Cumbria",NA,NA
"A81035",2017,5,"North East and North Cumbria",78.77629738,74.46965986
"A81035",2019,5,"North East and North Cumbria",79.10108429,74.23025232
"A81035",2020,5,"North East and North Cumbria",78.8497,73.5541
"A81036",2010,4,"North East and North Cumbria",81.1155915447446,76.9477071744077
"A81036",2012,4,"North East and North Cumbria",81.7124844086631,78.0612852664577
"A81036",2014,4,"North East and North Cumbria",81.9120330099253,77.9116784037559
"A81036",2017,4,"North East and North Cumbria",81.29227799,77.60371338
"A81036",2019,4,"North East and North Cumbria",80.94188895,77.68692479
"A81036",2020,4,"North East and North Cumbria",80.7436,77.6665
"A81037",2010,5,"North East and North Cumbria",79.3375974918739,74.3215595218387
"A81037",2012,5,"North East and North Cumbria",79.2226964386659,74.5691046330036
"A81037",2014,5,"North East and North Cumbria",NA,NA
"A81037",2017,5,"North East and North Cumbria",78.31193223,74.29421645
"A81037",2019,5,"North East and North Cumbria",78.71556222,73.82970827
"A81037",2020,5,"North East and North Cumbria",78.3836,72.8937
"A81038",2010,5,"North East and North Cumbria",78.9192611637657,73.7820847162177
"A81038",2012,5,"North East and North Cumbria",79.0786282914881,74.0926487747958
"A81038",2014,5,"North East and North Cumbria",NA,NA
"A81038",2017,5,"North East and North Cumbria",78.55732829,73.8740941
"A81038",2019,5,"North East and North Cumbria",78.69256928,73.8336573
"A81038",2020,5,"North East and North Cumbria",78.404,73.3914
"A81039",2010,1,"North East and North Cumbria",84.9236888039007,80.7928945987652
"A81039",2012,1,"North East and North Cumbria",85.6300811176205,81.0591320491993
"A81039",2014,1,"North East and North Cumbria",84.9084580216126,81.7791380789022
"A81039",2017,1,"North East and North Cumbria",84.31317411,81.05665814
