"Dispensing.Practice","IMD","Average.payments.per.registered.patient"
"Dispensing",11.6867727,210.64
"Non-dispensing",20.39322553,175.82
"Non-dispensing",19.2427999,182.06
"Non-dispensing",28.46756436,216.89
"Non-dispensing",27.06834726,166.78
"Non-dispensing",20.81830858,174.94
"Non-dispensing",12.15742604,158.03
"Non-dispensing",41.93922984,195.55
"Dispensing",22.05548735,333.42
"Dispensing",13.7635523,367.8
"Non-dispensing",32.28503773,167.91
"Non-dispensing",10.92339406,179.14
"Non-dispensing",27.80800851,171.42
"Non-dispensing",13.6341306,209.52
"Non-dispensing",33.50455695,178.81
"Non-dispensing",29.62419112,169.98
"Non-dispensing",29.30454671,187.87
"Non-dispensing",34.2427697,186.6
"Non-dispensing",39.57074182,189.22
"Dispensing",22.26005109,186.69
"Dispensing",24.4442419,256.55
"Non-dispensing",41.5638028,183.86
"Dispensing",25.95400061,404.55
"Dispensing",32.24967499,367.05
"Non-dispensing",35.44039273,175.49
"Non-dispensing",37.31337609,186.56
"Non-dispensing",20.12189781,141.78
"Non-dispensing",25.8918776,168.92
"Non-dispensing",29.12166208,186
"Non-dispensing",38.10310918,210.12
"Non-dispensing",33.33594104,191.68
"Non-dispensing",16.63894949,185.11
"Non-dispensing",23.54605016,148.29
"Dispensing",15.01503338,203.17
"Dispensing",8.739824692,172.14
"Dispensing",21.45775128,294.24
"Non-dispensing",36.93094062,166.24
"Dispensing",8.853483541,189.82
"Dispensing",30.41736482,184.72
"Non-dispensing",34.44271039,161.94
"Non-dispensing",13.39918114,149.84
"Dispensing",10.34350745,245.33
"Non-dispensing",26.69204959,193.92
"Non-dispensing",23.86529827,181.06
"Non-dispensing",13.27432044,201.91
"Non-dispensing",24.94460944,162.79
"Non-dispensing",22.35307978,190.67
"Non-dispensing",17.86580214,203.97
"Non-dispensing",33.06413324,169.55
"Dispensing",19.54528453,280.65
"Non-dispensing",21.40992634,209.74
"Non-dispensing",13.90738002,186.2
"Dispensing",20.09015887,413.02
"Non-dispensing",13.26878067,259.01
"Non-dispensing",20.42784778,188.91
"Dispensing",12.16722321,144.34
"Non-dispensing",25.29260344,165.43
"Non-dispensing",22.45095007,159.84
"Non-dispensing",21.07838876,157.16
"Dispensing",14.30328681,216.28
"Dispensing",14.15747065,330.88
"Dispensing",16.19627671,335.53
"Dispensing",22.61660533,198.88
"Non-dispensing",16.41040491,173.06
"Dispensing",10.10024463,205.51
"Dispensing",19.84537317,313.2
"Dispensing",9.360361568,560
"Non-dispensing",15.90676579,155.26
"Non-dispensing",20.65807135,148.77
"Non-dispensing",21.01075361,166.5
"Non-dispensing",33.35337407,185.03
"Non-dispensing",20.49315408,186.07
"Non-dispensing",32.92865792,164.18
"Non-dispensing",35.48454994,167.96
"Non-dispensing",25.5058145,177.77
"Non-dispensing",20.75896724,157.42
"Non-dispensing",25.62410928,170.61
"Non-dispensing",38.14332509,171.52
"Non-dispensing",21.48743406,164.36
"Non-dispensing",40.66669098,176.8
"Non-dispensing",42.74219616,191.94
"Non-dispensing",35.6601023,164.23
"Non-dispensing",14.5037643,187.89
"Non-dispensing",36.35154044,163.99
"Non-dispensing",33.77648936,154.62
"Non-dispensing",25.27564612,162.39
"Non-dispensing",36.9040912,161.76
"Non-dispensing",15.27350806,163.73
"Non-dispensing",35.5265895,145.74
"Non-dispensing",36.78639149,180.03
"Dispensing",35.89615024,192.44
"Non-dispensing",33.01888093,175.5
"Non-dispensing",24.07456631,158.83
"Non-dispensing",35.43650084,185.47
"Non-dispensing",20.12720209,169.83
"Non-dispensing",16.01248257,134.94
"Non-dispensing",16.53773659,178.85
"Non-dispensing",25.96558846,116.71
"Non-dispensing",42.38999102,137.74
"Non-dispensing",25.43893875,154.48
"Non-dispensing",13.88013554,158.13
"Non-dispensing",10.20541899,118.94
"Non-dispensing",22.28173869,134.74
"Non-dispensing",18.18021885,136.01
"Non-dispensing",51.65438949,195.19
"Non-dispensing",40.09562512,134.68
"Non-dispensing",35.96570398,153.12
"Non-dispensing",15.9451398,154.53
"Non-dispensing",49.06542295,186.76
"Non-dispensing",11.31010424,150.47
"Non-dispensing",9.070967219,121.98
"Non-dispensing",37.96354536,179.44
"Non-dispensing",20.75089697,160.6
"Non-dispensing",34.62080983,168.77
"Non-dispensing",39.59174729,139.38
"Non-dispensing",40.50885919,139.71
"Non-dispensing",29.33572562,171.23
"Non-dispensing",23.11119474,103.51
"Non-dispensing",18.27416829,140.83
"Non-dispensing",38.54524126,143.98
"Non-dispensing",40.50295755,153.81
"Non-dispensing",34.60042102,131.8
"Non-dispensing",9.327367122,139.42
"Non-dispensing",17.34584724,162.16
"Non-dispensing",13.39327023,130.14
"Non-dispensing",51.80747859,198.93
"Non-dispensing",32.01381591,163.74
"Non-dispensing",58.84881006,160.44
"Non-dispensing",16.86608463,214.01
"Non-dispensing",31.77981584,150.04
"Non-dispensing",29.92628672,262.54
"Non-dispensing",29.3110332,315.52
"Non-dispensing",27.87734053,159.16
"Non-dispensing",13.3463563,149.28
"Non-dispensing",11.62831328,193.93
"Non-dispensing",17.50068753,149.07
"Non-dispensing",10.85634401,141.74
"Non-dispensing",21.77109972,156.93
"Non-dispensing",9.989522663,140.06
"Non-dispensing",21.46008715,164.6
"Non-dispensing",32.52170422,163.47
"Non-dispensing",28.10961325,180.69
"Non-dispensing",15.56602483,173.2
"Non-dispensing",30.45632488,154.99
"Non-dispensing",10.09227049,158.52
"Non-dispensing",20.89033697,177.08
"Non-dispensing",20.9969575,205.47
"Non-dispensing",29.83574709,137.34
"Non-dispensing",44.01188062,168.27
"Non-dispensing",13.87380073,138.05
"Non-dispensing",18.58011393,169.45
"Non-dispensing",18.35943956,152.27
"Non-dispensing",30.3988818,162.53
"Non-dispensing",35.71636238,146.53
"Non-dispensing",28.8749698,152.84
"Non-dispensing",33.75971732,148.06
"Non-dispensing",38.81021186,140.11
"Non-dispensing",38.50131991,152.53
"Non-dispensing",32.47897689,144.44
"Non-dispensing",37.75648574,153.1
"Non-dispensing",20.40025449,149.66
"Non-dispensing",33.4981489,174.22
"Non-dispensing",32.0606872,160.39
"Non-dispensing",32.01654786,151.61
"Non-dispensing",38.15799107,125.91
"Non-dispensing",37.67224973,168.62
"Non-dispensing",19.51594951,142.53
"Non-dispensing",30.28993606,152.26
"Non-dispensing",16.60391191,141.29
"Non-dispensing",35.24250398,157.65
"Non-dispensing",29.99296205,148.36
"Non-dispensing",33.80232512,161
"Non-dispensing",35.88153756,159.71
"Non-dispensing",39.27753943,169.95
"Non-dispensing",44.44218896,155.71
"Non-dispensing",36.04943669,191.97
"Non-dispensing",32.30403714,183.91
"Non-dispensing",34.82466859,137.73
"Non-dispensing",31.60547903,155.77
"Non-dispensing",41.3140159,167.8
"Non-dispensing",24.69319225,165.61
"Non-dispensing",26.23961715,167.01
"Non-dispensing",25.70279852,169.7
"Non-dispensing",26.33479422,148.08
"Non-dispensing",38.56377841,164.53
"Non-dispensing",12.92839652,171.92
"Non-dispensing",25.49360384,166.77
"Non-dispensing",33.96603701,166.6
"Non-dispensing",38.53452906,164.52
"Non-dispensing",42.07902267,172.63
"Non-dispensing",32.74148845,156.41
"Non-dispensing",27.67945815,184.56
"Non-dispensing",26.33482209,157.1
"Non-dispensing",28.23423031,169.42
"Non-dispensing",33.50949514,184.78
"Non-dispensing",31.36002127,192.44
"Non-dispensing",27.98442529,147.4
"Non-dispensing",34.54619445,160.82
"Non-dispensing",23.07776435,175.96
"Non-dispensing",27.20472474,167.69
"Non-dispensing",32.42460492,162.13
"Non-dispensing",24.46313427,158.18
"Non-dispensing",28.72646999,140.95
"Non-dispensing",26.50622807,161.33
"Non-dispensing",35.02320333,172.39
"Non-dispensing",27.39945903,158.01
"Non-dispensing",35.73238728,157.56
"Non-dispensing",30.72931824,184.43
"Non-dispensing",19.3426872,144.97
"Non-dispensing",26.65821,163.04
"Non-dispensing",27.87556852,136.02
"Non-dispensing",47.92311513,123.15
"Non-dispensing",24.44693676,361.63
"Dispensing",20.47004724,249.26
"Dispensing",18.70618039,188.3
"Non-dispensing",30.63436174,147.98
"Dispensing",17.11146918,303.8
"Non-dispensing",37.75500657,137.71
"Dispensing",9.685370794,156.98
"Non-dispensing",12.44083468,196.63
"Non-dispensing",38.36144194,145.12
"Non-dispensing",42.13016465,168.96
"Non-dispensing",22.74630643,130.04
"Non-dispensing",31.60039133,156.63
"Non-dispensing",36.5964181,165.97
"Non-dispensing",52.79609601,199.98
"Non-dispensing",52.42807327,130.91
"Dispensing",31.79551385,193.29
"Non-dispensing",19.02450216,176.49
"Non-dispensing",35.45883285,172.44
"Non-dispensing",5.162133832,148.57
"Dispensing",35.35721233,247.73
"Non-dispensing",29.24441177,138.19
"Non-dispensing",50.1110321,135.78
"Dispensing",11.48865527,287.29
"Non-dispensing",14.14669269,186.44
"Non-dispensing",28.93477829,216.79
"Non-dispensing",50.70257208,115.78
"Dispensing",12.40203542,332.32
"Non-dispensing",25.05536855,173.42
"Dispensing",9.882123006,216.52
"Dispensing",14.49184735,272.31
"Non-dispensing",37.61123179,139.96
"Dispensing",29.05819033,225.27
"Non-dispensing",47.68408662,129.94
"Dispensing",11.7144948,245.5
"Dispensing",10.81367561,186.94
"Dispensing",11.41173903,257.43
"Non-dispensing",26.47947403,152.53
"Non-dispensing",53.98658136,130.73
"Non-dispensing",45.78340611,161.82
"Non-dispensing",31.75028066,144.6
"Non-dispensing",10.20205912,174.43
"Non-dispensing",36.79824567,119.84
"Non-dispensing",42.8822261,145.1
"Non-dispensing",20.80373332,164.41
"Non-dispensing",49.04415412,126.43
"Non-dispensing",35.90290316,186.23
"Dispensing",6.60734486,169.05
"Dispensing",16.39292949,256.94
"Non-dispensing",25.50508619,132.48
"Dispensing",19.08056813,219.78
"Non-dispensing",22.46214157,150.64
"Non-dispensing",34.28194711,145.23
"Non-dispensing",34.17796205,217.94
"Non-dispensing",44.15273986,129.01
"Non-dispensing",27.34722183,134.84
"Non-dispensing",28.67663863,169.37
"Non-dispensing",8.05051797,141.01
"Non-dispensing",27.65893329,151.09
"Non-dispensing",32.5279561,227.82
"Non-dispensing",10.97784085,159.16
"Non-dispensing",29.28757259,138.89
"Non-dispensing",28.22983076,193.71
"Dispensing",14.89404974,261.57
"Non-dispensing",26.65419316,143.88
"Non-dispensing",34.05560875,121.28
"Dispensing",14.55887943,324.34
"Non-dispensing",12.00474296,147.99
"Dispensing",12.52569529,143.04
"Non-dispensing",24.20539655,92.93
"Non-dispensing",27.05967474,169.45
"Dispensing",16.43265591,183.07
"Non-dispensing",44.22659315,148.98
"Non-dispensing",28.59115299,150.18
"Non-dispensing",32.94786049,160.08
"Non-dispensing",47.30826771,119.74
"Non-dispensing",44.49153055,212.41
"Non-dispensing",39.36382556,131.4
"Non-dispensing",32.92923273,132.08
"Non-dispensing",13.66523376,143.74
"Dispensing",16.84838771,387.8
"Non-dispensing",44.12193936,132.03
"Non-dispensing",20.50158104,152.93
"Non-dispensing",20.75905371,163.59
"Non-dispensing",34.79546555,150.12
"Dispensing",18.53615274,198.63
"Dispensing",23.56707741,397.2
"Non-dispensing",14.50059191,139.87
"Non-dispensing",32.24719451,165.13
"Non-dispensing",46.82405279,178.71
"Non-dispensing",27.36733044,187.59
"Non-dispensing",46.90463588,593.88
"Dispensing",13.00295018,166.71
"Non-dispensing",4.853190244,144.49
"Non-dispensing",40.27082341,104.98
"Non-dispensing",38.09441553,134
"Dispensing",11.4046571,226.48
"Dispensing",11.95530223,303.97
"Non-dispensing",14.09102964,155.28
"Dispensing",13.19968928,313.28
"Dispensing",11.98876737,210.9
"Dispensing",11.93434902,166.26
"Dispensing",19.46873133,358.72
"Dispensing",6.285644314,171.95
"Non-dispensing",11.4596111,139.74
"Non-dispensing",10.84984157,161.85
"Non-dispensing",11.74886853,143.08
"Dispensing",24.7935362,213.39
"Dispensing",7.893038095,292.2
"Dispensing",11.17584546,261.63
"Non-dispensing",10.95042304,136.14
"Non-dispensing",10.17796469,169.27
"Non-dispensing",14.08001356,149.18
"Non-dispensing",34.94444779,190.99
"Dispensing",16.87980541,155.86
"Dispensing",10.55511507,151.79
"Non-dispensing",10.67195878,156.2
"Dispensing",12.35855148,419.63
"Dispensing",12.97348198,271.46
"Dispensing",9.638904315,198.03
"Dispensing",10.24564165,253.81
"Dispensing",14.26282922,209.22
"Dispensing",11.85382031,215.78
"Dispensing",9.899560722,368.67
"Dispensing",12.38747641,187.94
"Dispensing",24.77411139,246.86
"Non-dispensing",31.43086813,172.96
"Dispensing",12.58873689,204.65
"Dispensing",13.73210262,225.63
"Non-dispensing",11.68071298,164.49
"Dispensing",12.94571473,340.53
"Dispensing",28.06926373,389.77
"Non-dispensing",8.251341613,100.78
"Dispensing",13.73431397,218.57
"Dispensing",13.08203194,236.56
"Non-dispensing",14.40169042,162.37
"Dispensing",21.53624604,194.28
"Dispensing",9.628153644,309.03
"Dispensing",12.40462812,151.77
"Non-dispensing",11.8080624,152.93
"Dispensing",13.88212729,246.07
"Dispensing",20.41082435,310.82
"Dispensing",12.36474833,301.71
"Dispensing",8.70217855,318.05
"Non-dispensing",10.2039128,166.42
"Non-dispensing",10.42021669,149.04
"Dispensing",14.49906618,176.97
"Dispensing",10.2748265,189.38
"Dispensing",5.512422974,158.47
"Dispensing",11.6936446,217.94
"Dispensing",11.48098962,235.55
"Dispensing",15.99082646,157.32
"Dispensing",13.51469479,224.53
"Non-dispensing",14.72275679,172.95
"Dispensing",11.87241063,320.85
"Dispensing",12.79738542,334.84
"Dispensing",7.19761548,186.48
"Dispensing",5.251815061,301.54
"Non-dispensing",13.66406726,143
"Dispensing",23.94330714,386.2
"Non-dispensing",32.0831477,164.92
"Non-dispensing",10.09135805,168.85
"Non-dispensing",19.43554941,149.34
"Non-dispensing",12.74766557,131.94
"Non-dispensing",15.49056856,159.92
"Dispensing",19.96701417,330.49
"Non-dispensing",12.45095749,173.64
"Dispensing",10.90199193,203.44
"Dispensing",16.80155317,202.5
"Dispensing",14.52405269,390.94
"Dispensing",12.95081146,325.3
"Dispensing",16.79080552,433.43
"Non-dispensing",21.36926178,181.52
"Non-dispensing",8.145526021,170.69
"Non-dispensing",49.85680576,157.23
"Non-dispensing",40.25255911,141.19
"Non-dispensing",32.88110167,191.63
"Non-dispensing",43.05532742,167.5
"Non-dispensing",40.84503225,178.83
"Non-dispensing",15.11552496,190.15
"Non-dispensing",49.88241739,188.19
"Non-dispensing",48.08444317,188.59
"Non-dispensing",32.09914157,159.37
"Non-dispensing",25.89139993,168.87
"Non-dispensing",6.69377033,201.12
"Non-dispensing",21.66593051,136.16
"Non-dispensing",12.41637613,200.7
"Non-dispensing",47.62008247,162.63
"Non-dispensing",52.86200831,152.76
"Non-dispensing",30.18722763,155.68
"Non-dispensing",30.19500966,172.57
"Non-dispensing",25.98557952,267.81
"Non-dispensing",13.32895205,190.98
"Non-dispensing",49.68833279,186.8
"Dispensing",34.88256868,179.28
"Non-dispensing",44.72903303,156.62
"Non-dispensing",49.49328357,170.17
"Non-dispensing",13.14871238,208.82
"Non-dispensing",33.46749823,195.81
"Non-dispensing",26.9214173,202.96
"Non-dispensing",47.5298813,192.52
"Non-dispensing",43.93860825,194.69
"Non-dispensing",36.35175169,192.27
"Non-dispensing",37.90216157,104.5
"Non-dispensing",45.80647663,169.62
"Non-dispensing",33.72115934,156.07
"Non-dispensing",44.87899265,244.71
"Non-dispensing",33.12991464,207.18
"Non-dispensing",50.49381855,194.96
"Non-dispensing",39.84498,193.74
"Non-dispensing",31.97685229,209.96
"Non-dispensing",32.69217839,162.61
"Non-dispensing",15.90433846,222.25
"Non-dispensing",48.36320359,162.51
"Non-dispensing",47.08880877,150.42
"Non-dispensing",49.61362073,189.19
"Non-dispensing",48.75494543,254.49
"Dispensing",8.601715285,230.37
"Non-dispensing",45.74752847,170.62
"Non-dispensing",46.76601718,139.01
"Non-dispensing",8.628143168,261.38
"Non-dispensing",48.20463488,146.89
"Non-dispensing",38.19576399,147.95
"Non-dispensing",52.90332924,168.1
"Non-dispensing",44.05860122,163.74
"Non-dispensing",49.60696311,159.2
"Non-dispensing",48.61319162,162.77
"Non-dispensing",49.87636999,154.48
"Non-dispensing",51.37865547,467.2
"Non-dispensing",42.16657766,178.34
"Non-dispensing",50.69932666,175.52
"Non-dispensing",47.69219567,152.88
"Non-dispensing",26.50908678,135.05
"Non-dispensing",20.90103133,150.03
"Non-dispensing",18.11637678,175.35
"Non-dispensing",24.01016243,151.05
"Non-dispensing",27.90359294,160.42
"Non-dispensing",14.13239705,174.71
