"Dispensing.Practice","IMD","Average.payments.per.registered.patient"
"Dispensing",8.361942609,180.36
"Non-dispensing",17.57882363,138.73
"Non-dispensing",10.68523116,109.97
"Non-dispensing",18.1699272,127.88
"Non-dispensing",14.14144826,172.08
"Non-dispensing",8.691291777,133.82
"Non-dispensing",17.47333678,137.47
"Non-dispensing",13.90959149,142.69
"Non-dispensing",19.63567964,137.44
"Non-dispensing",15.58792188,152.52
"Non-dispensing",10.70507744,156.52
"Non-dispensing",14.69736009,144.24
"Non-dispensing",14.67381732,123.08
"Non-dispensing",16.99001504,132.84
"Dispensing",7.61565781,143.92
"Non-dispensing",20.5624948,127.52
"Dispensing",10.45431866,268.15
"Non-dispensing",17.67966676,135.67
"Non-dispensing",17.33990389,124.36
"Non-dispensing",9.848719284,141.42
"Non-dispensing",11.62611347,145.57
"Non-dispensing",9.700711897,133.47
"Non-dispensing",16.80419006,140.33
"Non-dispensing",13.25038238,144.27
"Non-dispensing",5.902666077,138.24
"Non-dispensing",8.605999773,149.85
"Non-dispensing",16.82187228,135.76
"Non-dispensing",12.39480888,125.87
"Non-dispensing",26.98790083,129.32
"Non-dispensing",12.18447018,158.65
"Non-dispensing",9.644002125,161.02
"Non-dispensing",18.58895604,174.81
"Non-dispensing",12.09779339,150.6
"Non-dispensing",19.9299506,124.89
"Non-dispensing",5.286608457,148.08
"Non-dispensing",22.19039637,135.52
"Non-dispensing",18.37633046,135.61
"Dispensing",11.08865154,157.31
"Non-dispensing",7.932036116,150.2
"Non-dispensing",20.17171609,132.09
"Non-dispensing",14.08691658,123.39
"Non-dispensing",8.67897658,144
"Non-dispensing",8.322824764,126.65
"Non-dispensing",15.66263927,141.63
"Non-dispensing",14.23183593,144.65
"Non-dispensing",19.82327564,139.74
"Non-dispensing",4.444442535,144.16
"Non-dispensing",9.724276872,136.49
"Non-dispensing",6.33586917,129.42
"Non-dispensing",7.72322657,135.07
"Non-dispensing",12.43233075,113.43
"Non-dispensing",16.83963075,113.91
"Non-dispensing",5.704364177,115.87
"Dispensing",8.120933733,157.67
"Non-dispensing",12.37525222,139.73
"Non-dispensing",6.553018034,161.1
"Non-dispensing",10.76476766,153.71
"Non-dispensing",4.806825454,120.68
"Non-dispensing",14.1380568,155.14
"Non-dispensing",21.10991222,119.52
"Non-dispensing",9.081096348,131.69
"Non-dispensing",17.47758368,185.6
"Non-dispensing",8.819764404,145.6
"Non-dispensing",8.160666349,129.25
"Non-dispensing",9.656494964,131.95
"Dispensing",18.53464297,142.62
"Non-dispensing",13.44875103,155.32
"Non-dispensing",18.22278622,234.55
"Non-dispensing",11.02494882,134.58
"Non-dispensing",13.84859719,143.13
"Non-dispensing",8.808593581,166.61
"Non-dispensing",22.23906982,142.98
"Non-dispensing",6.174513748,131.4
"Non-dispensing",12.7921862,148.29
"Non-dispensing",10.84860268,155.36
"Non-dispensing",11.35027453,165.56
"Non-dispensing",8.898525467,144.54
"Non-dispensing",8.66005872,131.33
"Non-dispensing",13.45804131,260.03
"Non-dispensing",13.90238533,115.52
"Dispensing",4.874098341,128.22
"Non-dispensing",12.22020659,145.2
"Non-dispensing",19.00386342,146.46
"Non-dispensing",10.42949403,123.74
"Non-dispensing",17.81658563,139.63
"Non-dispensing",19.24014103,131.4
"Dispensing",8.379602457,326.99
"Non-dispensing",19.54292969,140.07
"Non-dispensing",13.95059242,140.65
"Non-dispensing",7.892550529,146.4
"Non-dispensing",9.179645233,256.21
"Dispensing",9.799991604,162.53
"Non-dispensing",20.62760973,135.96
"Dispensing",11.84575136,275.79
"Non-dispensing",25.50518332,120.54
"Non-dispensing",23.416007,132.46
"Non-dispensing",7.775592459,131.24
"Non-dispensing",8.422749114,134.01
"Non-dispensing",6.622586106,211.43
"Non-dispensing",20.21952124,120.98
"Non-dispensing",9.036842839,143.71
"Non-dispensing",18.62695311,118.72
"Non-dispensing",14.02950253,133.26
"Non-dispensing",12.5059403,114.98
"Non-dispensing",23.02040237,125.66
"Non-dispensing",19.12810848,120.31
"Non-dispensing",9.221716177,109.05
"Non-dispensing",11.14138591,120.63
"Non-dispensing",14.23836231,124.41
"Non-dispensing",30.40216781,115.81
"Non-dispensing",14.78739995,140.54
"Non-dispensing",12.00519248,139.69
"Non-dispensing",12.88502109,140.78
"Non-dispensing",13.4290826,137.2
"Non-dispensing",20.72787463,138.12
"Non-dispensing",15.86594544,116.83
"Non-dispensing",14.2048699,123.88
"Non-dispensing",10.33639252,136.6
"Non-dispensing",24.42204981,114.07
"Non-dispensing",11.98643018,135.99
"Non-dispensing",15.62882691,123.65
"Non-dispensing",26.63804914,111.49
"Non-dispensing",13.2379982,150.93
"Non-dispensing",15.19772903,127.98
"Non-dispensing",22.30957072,143.07
"Non-dispensing",18.65881522,123.63
"Non-dispensing",13.10735847,131.9
"Non-dispensing",12.21607702,135.65
"Non-dispensing",19.35750983,134.56
"Non-dispensing",15.93538052,127.04
"Non-dispensing",20.23648629,121.42
"Non-dispensing",14.83563387,127.99
"Non-dispensing",17.61800339,117.93
"Non-dispensing",21.36508977,124.46
"Non-dispensing",15.03338312,125.18
"Non-dispensing",10.89563308,114.3
"Non-dispensing",14.28185485,135.9
"Non-dispensing",13.64389188,106.87
"Non-dispensing",15.31173144,119.47
"Non-dispensing",13.62941763,114.89
"Non-dispensing",12.0122969,121.83
"Non-dispensing",20.64107929,107.01
"Non-dispensing",11.70818909,127.04
"Non-dispensing",15.1544346,109.08
"Non-dispensing",15.87398709,117.2
"Non-dispensing",15.30685843,99.2
"Non-dispensing",16.03045442,123.16
"Non-dispensing",15.99104997,125.89
"Non-dispensing",17.08258867,97.23
"Non-dispensing",23.82022348,143.07
"Non-dispensing",21.37683113,123.62
"Non-dispensing",16.63260126,130.03
"Non-dispensing",12.364521,139.37
"Non-dispensing",25.95315417,141.3
"Non-dispensing",15.75270252,144.12
"Non-dispensing",16.64666761,141.12
"Non-dispensing",19.21643393,138.02
"Non-dispensing",28.3846203,143.17
"Non-dispensing",24.84736363,162.84
"Non-dispensing",38.60411355,150.3
"Non-dispensing",17.10810974,141.86
"Non-dispensing",20.54193389,140.61
"Non-dispensing",19.01709444,131.23
"Non-dispensing",12.89161724,212.95
"Non-dispensing",19.2766974,132.81
"Non-dispensing",27.99675893,145.32
"Non-dispensing",20.44667878,233.97
"Non-dispensing",8.379485521,192.99
"Non-dispensing",22.66836879,158.37
"Non-dispensing",40.0962919,145.08
"Non-dispensing",29.49874094,138.96
"Non-dispensing",42.12907,161.26
"Non-dispensing",25.62569943,125.66
"Non-dispensing",25.21527464,128.17
"Non-dispensing",30.46474055,120.39
"Non-dispensing",16.08555,145.31
"Non-dispensing",14.00383292,118.42
"Non-dispensing",33.21472929,164.01
"Non-dispensing",17.53119958,130.74
"Non-dispensing",18.82686515,139.01
"Non-dispensing",20.20873218,125.25
"Non-dispensing",22.23513863,138.81
"Non-dispensing",10.00762875,154.1
"Non-dispensing",13.16586051,137.43
"Non-dispensing",17.80499111,111.87
"Non-dispensing",13.76679817,151.86
"Non-dispensing",11.07702224,154.02
"Non-dispensing",18.10141236,132.41
"Non-dispensing",23.45814954,107.38
"Non-dispensing",24.94321741,91.64
"Non-dispensing",20.1830559,125.5
"Non-dispensing",10.61595236,156.73
"Non-dispensing",17.49680166,143.79
"Non-dispensing",13.62738382,129.57
"Non-dispensing",34.80243323,132.52
"Non-dispensing",16.0752959,105.52
"Non-dispensing",28.7269923,128.76
"Non-dispensing",18.20359895,168.12
"Non-dispensing",22.78155936,124.69
"Non-dispensing",16.45406372,144.61
"Non-dispensing",22.53947142,118.36
"Non-dispensing",14.87335847,124.1
"Non-dispensing",18.90951264,129.71
"Non-dispensing",19.20401722,110.53
"Non-dispensing",22.18004769,135.4
"Non-dispensing",22.96563046,159.79
"Non-dispensing",41.19877415,142.37
"Non-dispensing",21.9839942,134.59
"Non-dispensing",35.1329687,299.79
"Non-dispensing",15.22395509,107.72
"Non-dispensing",14.91631545,151.98
"Non-dispensing",17.93871705,114.11
"Non-dispensing",31.86140235,133.94
"Non-dispensing",20.5107242,159.18
"Non-dispensing",14.13864509,122.82
"Non-dispensing",32.97356348,116.53
"Non-dispensing",26.54475104,135
"Non-dispensing",16.2539528,120.44
"Non-dispensing",20.75231653,137.45
"Non-dispensing",16.49879152,123.78
"Non-dispensing",18.93633515,206.18
"Non-dispensing",28.57086637,132.56
"Non-dispensing",19.27509302,164.43
"Non-dispensing",15.2926812,122.11
"Non-dispensing",19.18134181,124.16
"Non-dispensing",22.25528499,115.64
"Non-dispensing",25.40382326,155.45
"Non-dispensing",22.55404912,115.34
"Non-dispensing",17.27440484,223.06
"Non-dispensing",16.30430715,147.3
"Non-dispensing",22.46699442,140.7
"Non-dispensing",26.20978594,130.16
"Non-dispensing",30.1975247,142.38
"Non-dispensing",32.22679921,154.6
"Non-dispensing",17.38285912,135.32
"Non-dispensing",23.78191292,159.89
"Non-dispensing",27.47987731,166.27
"Non-dispensing",22.12434373,139.46
"Non-dispensing",11.61961632,122.53
"Non-dispensing",21.57344233,134.32
"Non-dispensing",24.24028619,151.27
"Non-dispensing",23.89049396,181.06
"Non-dispensing",27.44853879,179.94
"Non-dispensing",21.32550242,141.99
"Non-dispensing",29.80197837,137.88
"Non-dispensing",26.26949453,181.78
"Non-dispensing",23.08842171,149.5
"Non-dispensing",20.32405549,135.23
"Non-dispensing",19.9322688,131.24
"Non-dispensing",20.18278414,149.77
"Non-dispensing",18.99368218,138.34
"Non-dispensing",13.7528095,122.01
"Non-dispensing",23.78331654,138.16
"Non-dispensing",23.99829194,125.11
"Non-dispensing",26.40001609,162.23
"Non-dispensing",25.52702494,140.16
"Non-dispensing",13.31887213,127.6
"Non-dispensing",14.67986655,122.53
"Non-dispensing",21.71519172,168.11
"Non-dispensing",26.8476042,134.38
"Non-dispensing",20.78200344,156.94
"Non-dispensing",22.96366536,161.64
"Non-dispensing",32.02883484,142.91
"Non-dispensing",28.90946085,189.72
"Non-dispensing",21.77915393,140.09
"Non-dispensing",27.86412262,143.03
"Non-dispensing",22.12196174,143.84
"Non-dispensing",26.48839087,164.2
"Non-dispensing",16.12950234,153.7
"Non-dispensing",28.45994651,144.56
"Non-dispensing",23.15845169,125.56
"Non-dispensing",12.37357971,145.59
"Non-dispensing",22.00531559,166.38
"Non-dispensing",21.98513535,141.9
"Non-dispensing",16.36292393,130.58
"Non-dispensing",28.11291817,147.29
"Non-dispensing",21.13531693,109.07
"Non-dispensing",29.17053267,161.38
"Non-dispensing",12.0147336,138.61
"Non-dispensing",23.55019271,153.54
"Non-dispensing",23.67411243,150.75
"Non-dispensing",19.62134517,122.5
"Non-dispensing",20.4211031,319.05
"Non-dispensing",27.71911777,131.96
"Non-dispensing",26.25840941,170.74
"Non-dispensing",30.09063769,192.86
"Non-dispensing",26.52516719,156.86
"Non-dispensing",20.74845818,126.67
"Non-dispensing",23.76617243,120.34
"Non-dispensing",28.79001119,129.5
"Non-dispensing",19.14629794,120.49
"Non-dispensing",26.70317402,179.59
"Non-dispensing",28.5729802,168.81
"Non-dispensing",26.68555742,145.33
"Non-dispensing",29.32495436,124.03
"Non-dispensing",18.54275173,140.26
"Non-dispensing",14.39221363,130.37
"Non-dispensing",16.71266052,158.37
"Non-dispensing",22.94346048,132.6
"Non-dispensing",23.43380859,151.14
"Non-dispensing",21.05781136,146.4
"Non-dispensing",18.99844292,136.4
"Non-dispensing",26.16498866,151.2
"Non-dispensing",21.5582441,163.46
"Non-dispensing",26.04514049,149.07
"Non-dispensing",17.38935928,140.45
"Non-dispensing",16.67762783,117.59
"Non-dispensing",23.13621298,91.26
"Non-dispensing",20.78915193,108.88
"Non-dispensing",22.1333485,133.46
"Non-dispensing",18.49121768,137.04
"Non-dispensing",18.74265542,144.38
"Non-dispensing",20.8286279,165.29
"Non-dispensing",18.91687699,122.36
"Non-dispensing",16.27797319,132.12
"Non-dispensing",25.35197431,134.49
"Non-dispensing",21.22064538,147.3
"Non-dispensing",23.87466975,157.96
"Non-dispensing",29.46783081,151.04
"Non-dispensing",14.89706784,100.77
"Non-dispensing",15.07705229,143.32
"Non-dispensing",25.35797272,179.19
"Non-dispensing",27.29029324,156.1
"Non-dispensing",23.77192835,136.23
"Non-dispensing",21.49745401,139.24
"Non-dispensing",24.97650424,154.68
"Non-dispensing",20.65320455,140.18
"Non-dispensing",19.51953601,112.39
"Non-dispensing",27.79854336,275.38
"Non-dispensing",21.23460995,128.16
"Non-dispensing",16.74002926,147.45
"Non-dispensing",32.59337821,114.66
"Non-dispensing",28.15339541,137.2
"Non-dispensing",24.47848764,116.19
"Non-dispensing",22.68489482,139.08
"Non-dispensing",26.03199383,117.4
"Non-dispensing",29.41202554,146.14
"Non-dispensing",13.33491369,111.82
"Non-dispensing",12.6340271,126.63
"Non-dispensing",21.83621193,122.31
"Non-dispensing",15.40875089,133.78
"Non-dispensing",15.21064579,134.16
"Non-dispensing",13.52549051,125.36
"Non-dispensing",22.99168254,110.61
"Non-dispensing",24.0009449,128.86
"Non-dispensing",25.50864669,152.31
"Non-dispensing",22.8152429,145.5
"Non-dispensing",22.82908424,124.93
"Non-dispensing",30.31520305,145.89
"Non-dispensing",21.28736431,120.89
"Non-dispensing",13.74936643,143.02
"Non-dispensing",31.95345095,163.15
"Non-dispensing",22.43534907,122.89
"Non-dispensing",21.26584581,122.02
"Non-dispensing",14.21830983,119.92
"Non-dispensing",26.33700141,149.53
"Non-dispensing",22.72704703,130.96
"Non-dispensing",21.2017739,139.97
"Non-dispensing",23.00435668,139.43
"Non-dispensing",24.99487638,119.92
"Non-dispensing",24.54770986,164.34
"Non-dispensing",25.12899797,118.29
"Non-dispensing",21.42311088,160.24
"Non-dispensing",25.63023388,160.24
"Non-dispensing",21.14801793,134.27
"Non-dispensing",25.69730408,188.07
"Non-dispensing",17.42542926,126.44
"Non-dispensing",26.71234789,102.92
"Non-dispensing",18.37813412,138.21
"Non-dispensing",9.961991528,144.48
"Non-dispensing",25.1465014,19.9
"Non-dispensing",26.42984482,125.01
"Non-dispensing",13.46552972,154.73
"Non-dispensing",9.716953663,124.48
"Non-dispensing",18.20314372,153.4
"Non-dispensing",16.16016669,149.79
"Non-dispensing",27.49150682,121.52
"Non-dispensing",9.143223285,146.65
"Non-dispensing",8.464001544,126.2
"Non-dispensing",9.154372836,132.31
"Non-dispensing",17.52338365,147.72
"Non-dispensing",20.81931829,122.42
"Non-dispensing",23.79807297,115.28
"Non-dispensing",26.57934255,146.37
"Non-dispensing",24.24319851,148.67
"Non-dispensing",26.40704105,119.98
"Non-dispensing",8.575457586,131.32
"Non-dispensing",8.356693513,142.12
"Non-dispensing",22.6360946,124.26
"Non-dispensing",27.68202759,138.29
"Non-dispensing",7.596172871,171.31
"Non-dispensing",21.87376444,143.24
"Non-dispensing",13.18459135,94.19
"Non-dispensing",8.7244565,137.18
"Non-dispensing",20.00618157,151.27
"Non-dispensing",11.97793871,141.25
"Non-dispensing",21.56185195,131.84
"Non-dispensing",13.566728,116.48
"Non-dispensing",26.82296751,124.69
"Non-dispensing",12.05528922,136.74
"Non-dispensing",23.93784342,148.08
"Non-dispensing",26.45839205,128.64
"Non-dispensing",22.94472714,140.57
"Non-dispensing",14.57570011,130.07
"Non-dispensing",13.55028491,125.69
"Non-dispensing",7.249462017,122.4
"Non-dispensing",21.99483696,142.74
"Non-dispensing",26.72711483,142.93
"Non-dispensing",9.748240343,136.31
"Non-dispensing",12.67288782,117.17
"Non-dispensing",16.2207071,124.77
"Non-dispensing",23.36867157,131.67
"Non-dispensing",9.414417756,130.04
"Non-dispensing",18.88636608,161.37
"Non-dispensing",32.47035344,178.58
"Non-dispensing",19.56026988,150.22
"Non-dispensing",15.56114825,163.18
"Non-dispensing",24.38952472,159.33
"Non-dispensing",22.71055009,67.13
"Non-dispensing",32.83093183,150.45
"Non-dispensing",20.15766867,138.68
"Non-dispensing",17.47654569,158.59
"Non-dispensing",34.1307996,152.27
"Non-dispensing",14.09707511,150.93
"Non-dispensing",16.0398344,166.75
"Non-dispensing",29.00096374,208.07
"Non-dispensing",39.68572981,179.59
"Non-dispensing",34.91330895,217.21
"Non-dispensing",23.55457057,164.95
"Non-dispensing",21.28614787,130.54
"Non-dispensing",18.11963854,109.77
"Non-dispensing",29.36597071,207.2
"Non-dispensing",13.55332056,145.97
"Non-dispensing",25.96220916,154.91
"Non-dispensing",17.37784361,125.91
"Non-dispensing",24.64343733,184.18
"Non-dispensing",14.39804717,127.04
"Non-dispensing",29.35057959,158.28
"Non-dispensing",17.40457503,222.62
"Non-dispensing",22.73081589,141.16
"Non-dispensing",32.22091455,227.93
"Non-dispensing",18.29072665,147.05
"Non-dispensing",32.43155796,153.42
"Non-dispensing",22.30044114,133.38
"Non-dispensing",16.05239808,117.3
"Non-dispensing",11.66394508,116.84
"Non-dispensing",26.55265305,170.9
"Non-dispensing",12.94086713,172.23
"Non-dispensing",22.57191927,123.74
"Non-dispensing",15.86408705,135.83
"Non-dispensing",15.9541844,87.63
"Non-dispensing",20.59899393,126.53
"Non-dispensing",18.69018605,77.2
"Non-dispensing",10.54130651,102.71
"Non-dispensing",14.8016661,150.86
"Non-dispensing",12.79997592,170.26
"Non-dispensing",36.44016155,171.79
"Non-dispensing",23.71060807,138.38
"Non-dispensing",13.21736161,130.88
"Non-dispensing",19.7858986,158.38
"Non-dispensing",14.9110641,140.07
"Non-dispensing",36.85789466,162.5
"Non-dispensing",12.91723308,121.4
"Non-dispensing",13.79034001,147.06
"Non-dispensing",21.34152624,143.44
"Non-dispensing",21.12758609,244.31
"Non-dispensing",29.43831704,151.21
"Non-dispensing",38.08424554,196.12
"Non-dispensing",12.58470344,110.6
"Non-dispensing",21.59567731,142.35
"Non-dispensing",22.96932791,170.43
"Non-dispensing",30.37064045,197.16
"Non-dispensing",19.56189128,124.97
"Non-dispensing",14.32167459,122.23
"Non-dispensing",30.47466082,142.35
"Non-dispensing",24.78350893,150.06
"Non-dispensing",22.13220298,141.03
"Non-dispensing",22.46920959,103.79
"Non-dispensing",10.27411876,139.57
"Non-dispensing",29.29328444,143.17
"Dispensing",10.67405487,252.04
"Non-dispensing",36.75603932,131.58
"Non-dispensing",17.64469587,122.67
"Dispensing",8.118856511,199.05
"Non-dispensing",25.78127658,125.3
"Non-dispensing",9.683701964,147.25
"Non-dispensing",12.49958671,154.6
"Non-dispensing",7.408207133,118.14
"Non-dispensing",17.55577569,172.94
"Dispensing",8.187811091,259.75
"Non-dispensing",28.03706,169.34
"Dispensing",28.89313973,160.06
"Dispensing",13.82524373,331.55
"Non-dispensing",20.96299865,177.56
"Dispensing",15.37062353,176.64
"Non-dispensing",10.56716079,127.79
"Non-dispensing",14.93242181,149.38
"Non-dispensing",27.35350973,120.85
"Non-dispensing",19.47954938,193.44
"Non-dispensing",23.15809637,141.88
"Non-dispensing",7.677449789,140.34
"Non-dispensing",21.65610526,121.89
"Dispensing",15.69761892,180.29
"Non-dispensing",34.89529518,123.2
"Non-dispensing",11.4222298,122.73
"Dispensing",8.205650662,228.69
"Non-dispensing",12.91092286,131.92
"Non-dispensing",45.31723742,159.26
"Non-dispensing",11.43789162,151.97
"Dispensing",13.90714099,314.69
"Non-dispensing",14.29599244,141.6
"Non-dispensing",21.8287872,140.54
"Non-dispensing",14.58762741,136.75
"Dispensing",14.06479921,281.69
"Non-dispensing",7.771658477,131.69
"Non-dispensing",17.26012751,154.16
"Non-dispensing",23.21588704,144.28
"Non-dispensing",14.22677306,138.47
"Dispensing",17.0142228,224.84
"Non-dispensing",26.05196887,112.97
"Non-dispensing",39.19166729,178.23
"Non-dispensing",8.072286912,145.3
"Non-dispensing",7.892902474,121.11
"Non-dispensing",15.17267379,154.21
"Non-dispensing",12.84867222,130.16
"Non-dispensing",31.17102449,121.79
"Non-dispensing",9.782962904,151.72
"Non-dispensing",14.5101942,126.23
"Non-dispensing",10.28879368,112.18
"Non-dispensing",6.60984107,168.44
"Non-dispensing",13.5271705,150.87
"Non-dispensing",16.41703381,155.57
"Dispensing",13.84539157,188.77
"Non-dispensing",12.48596414,120.44
"Non-dispensing",12.95511849,128.72
"Non-dispensing",12.25378513,132.34
"Dispensing",11.39749915,201.41
"Non-dispensing",13.095355,109.1
"Non-dispensing",7.104408996,121.37
"Non-dispensing",33.82536716,141.17
"Non-dispensing",17.48958154,113.49
"Non-dispensing",12.53416654,148.21
"Non-dispensing",11.81226814,117.94
"Non-dispensing",27.49059583,127.56
"Dispensing",16.65978461,165.24
"Non-dispensing",15.8800676,113.11
"Dispensing",14.69042065,156.45
"Dispensing",11.11279812,192.81
"Non-dispensing",22.07519408,136.36
"Non-dispensing",17.94338792,120.73
"Dispensing",24.9753677,140.87
"Non-dispensing",24.21133175,152.73
"Non-dispensing",24.53212674,149.14
"Dispensing",13.18103805,185.24
"Dispensing",15.45889328,167.84
"Dispensing",9.55400116,166.26
"Non-dispensing",9.8224181,118.82
"Non-dispensing",7.648004502,114.79
"Non-dispensing",12.17114088,143.6
"Dispensing",10.5021002,220.29
"Non-dispensing",23.49603259,137.25
"Non-dispensing",29.9564937,133.98
"Non-dispensing",30.06557198,161.36
"Dispensing",7.136336233,221.24
"Non-dispensing",8.214952306,134.08
"Non-dispensing",10.28292757,91.26
"Dispensing",13.54838537,180.04
"Dispensing",15.07342726,159.09
"Dispensing",17.03885905,177.12
"Non-dispensing",12.83426029,181.51
"Dispensing",10.53204315,199.93
"Dispensing",12.39861829,226.58
"Non-dispensing",23.6223485,143.91
"Non-dispensing",13.97675896,120.02
"Non-dispensing",17.81353042,136.86
"Non-dispensing",8.112630149,141.61
"Non-dispensing",7.158064999,135.82
"Dispensing",13.74836771,169.04
"Non-dispensing",14.84808944,294.31
"Dispensing",16.4461144,216.68
"Dispensing",10.67126831,222.24
"Dispensing",16.00394021,158.81
"Non-dispensing",12.14961264,141.98
"Dispensing",22.28913504,172.06
"Non-dispensing",15.03196106,111.25
"Dispensing",14.54634567,185.44
"Dispensing",13.67377016,153.93
"Non-dispensing",10.57721105,129.59
"Non-dispensing",11.93570194,142.38
"Non-dispensing",25.42125495,175.59
"Dispensing",11.38377793,164.37
"Non-dispensing",30.01008945,113.38
"Non-dispensing",18.02515889,124.2
"Non-dispensing",15.00826734,132.02
"Non-dispensing",17.03594974,118.04
"Non-dispensing",45.05024135,204.75
"Non-dispensing",37.10218723,134.39
"Non-dispensing",37.80486467,116.32
"Non-dispensing",11.04344531,129.62
"Non-dispensing",25.76461222,135.12
"Non-dispensing",8.205180114,134.33
"Non-dispensing",7.757441974,147.02
"Non-dispensing",8.44962062,133.22
"Non-dispensing",18.67757087,147.44
"Non-dispensing",29.93029618,121.53
"Non-dispensing",16.75225409,428.09
"Non-dispensing",24.12908377,118.61
"Dispensing",15.65208293,266.41
"Non-dispensing",18.49852886,166.14
"Non-dispensing",35.93456055,124.27
"Non-dispensing",18.16286235,132.08
"Non-dispensing",17.28022078,136.02
"Non-dispensing",27.93687072,135.49
"Dispensing",12.63254593,210.05
"Non-dispensing",24.93004452,120.22
"Non-dispensing",37.02145808,189.96
"Non-dispensing",30.34181572,107.28
"Non-dispensing",19.05222279,126.9
"Non-dispensing",48.16077821,158.83
"Dispensing",21.79746649,194.37
"Dispensing",9.637984421,194.53
"Non-dispensing",12.25869084,121.84
"Non-dispensing",21.43264809,121.1
"Non-dispensing",16.73655626,144.92
"Dispensing",28.7488289,141.79
"Non-dispensing",9.436234074,106.49
"Non-dispensing",17.74722523,137.35
"Dispensing",21.2122756,300.95
"Non-dispensing",25.13623483,117.99
"Non-dispensing",10.58757248,127.45
"Non-dispensing",24.10670597,136.5
"Non-dispensing",20.42716555,124.09
"Non-dispensing",28.31065148,123.6
"Dispensing",15.01368685,224.72
"Non-dispensing",17.10091138,118
"Dispensing",12.73734415,155.17
"Non-dispensing",32.85598108,125.39
"Non-dispensing",19.78887238,119.15
"Non-dispensing",36.96834157,136.82
"Non-dispensing",22.88413022,123.84
"Non-dispensing",13.87714697,120.65
"Non-dispensing",30.81047774,135.02
"Non-dispensing",36.3480433,120.67
"Non-dispensing",8.880620377,117.04
"Non-dispensing",20.5372682,136.07
"Non-dispensing",28.68079394,123.38
"Dispensing",11.54669313,191.56
"Non-dispensing",11.97797809,171.72
"Non-dispensing",15.95628034,127.35
"Non-dispensing",41.00298411,219.5
"Non-dispensing",16.11545093,133.14
"Non-dispensing",25.1007741,142.18
"Dispensing",19.31673861,192.5
"Non-dispensing",17.99641176,119.84
"Non-dispensing",17.13470309,137.58
"Non-dispensing",24.83800045,126.49
"Non-dispensing",7.680905327,108.14
"Non-dispensing",36.92872904,112.04
"Non-dispensing",35.0351818,117.82
"Non-dispensing",30.7104382,488.81
"Non-dispensing",11.36076536,144.62
"Non-dispensing",13.82137403,147.67
"Non-dispensing",18.55955459,143.57
"Non-dispensing",29.0724527,119.31
"Dispensing",10.25677391,174.44
"Non-dispensing",14.72374025,131.32
"Non-dispensing",13.05561998,113.34
"Non-dispensing",25.02699908,166.88
"Non-dispensing",24.90597122,146.05
"Non-dispensing",34.87927267,162.49
"Non-dispensing",12.76515244,142.69
"Non-dispensing",15.76935855,108.82
"Non-dispensing",21.26481424,131.87
"Dispensing",13.12932158,158.51
"Dispensing",14.58885401,219.76
"Non-dispensing",34.62761252,128.88
"Non-dispensing",7.894964218,138.65
"Non-dispensing",28.87432778,121.28
"Non-dispensing",35.71379824,169.87
"Non-dispensing",6.995721011,150.68
"Non-dispensing",14.29162292,136.79
"Non-dispensing",13.26108207,142.1
"Non-dispensing",18.78830262,137.83
"Non-dispensing",28.83870746,139.18
"Non-dispensing",20.14862129,155.88
"Non-dispensing",34.03666382,121.8
"Non-dispensing",14.08375421,133.82
"Non-dispensing",30.10304911,153.29
"Non-dispensing",35.47893489,127.22
"Non-dispensing",30.77924973,143.98
"Non-dispensing",33.61697245,172.12
"Non-dispensing",26.26615777,128.13
"Non-dispensing",23.34629402,198.29
"Non-dispensing",11.32998012,124.31
"Non-dispensing",15.15174458,142.14
"Non-dispensing",18.32421386,130.57
"Non-dispensing",33.17950238,117.33
"Non-dispensing",21.7160411,129.48
"Non-dispensing",17.24224988,129.54
"Non-dispensing",19.69781162,125.2
"Non-dispensing",24.59766313,150.6
"Non-dispensing",9.850995236,133.58
"Non-dispensing",31.68770974,262.61
"Non-dispensing",31.23099028,140.47
"Non-dispensing",21.80496458,154.54
"Non-dispensing",35.20630847,169.75
"Non-dispensing",34.5350127,136.01
"Non-dispensing",15.86051286,121.4
"Non-dispensing",33.69971673,136.88
"Non-dispensing",8.32090625,296.47
"Non-dispensing",10.48586728,115.61
"Non-dispensing",35.80259814,173.73
"Non-dispensing",18.39707576,146.79
"Non-dispensing",10.72933118,135.62
"Non-dispensing",17.77068287,130.38
"Non-dispensing",26.6538248,119.17
"Non-dispensing",20.69891897,131.38
"Non-dispensing",29.97692111,118.34
"Non-dispensing",9.674189887,135.09
"Non-dispensing",30.14270413,146.56
"Non-dispensing",22.69359646,89.48
"Non-dispensing",20.37496221,131.41
"Non-dispensing",33.23511867,149.64
"Non-dispensing",21.39129133,119.56
"Non-dispensing",34.736492,152.9
"Non-dispensing",27.93432051,107
"Non-dispensing",28.9878895,121.32
"Non-dispensing",16.82398601,133.69
"Non-dispensing",30.40557124,122.84
"Non-dispensing",33.57799663,122.76
"Non-dispensing",29.08502347,116.29
"Non-dispensing",16.90891473,112.67
"Non-dispensing",11.75513425,118.65
"Non-dispensing",31.1701842,160.7
"Non-dispensing",29.41365697,127.79
"Non-dispensing",8.423503197,152.95
"Non-dispensing",10.07631717,136.06
"Non-dispensing",33.1144994,136.8
"Non-dispensing",33.24062882,143.81
"Non-dispensing",29.0757316,118.38
"Non-dispensing",31.08020263,131.33
"Non-dispensing",23.81286163,151.78
