Practice.Code,Outcome,Outcome2
J82180,NA,Merged
J82183,NA,Merged
J82188,Merged,Merged
J82192,NA,Merged
J82195,NA,Closed
J82197,NA,Closed
J82217,NA,Merged
J82220,NA,Merged
J82633,NA,Merged
J82648,Merged,Merged
J84010,NA,Merged
J84014,NA,Merged
J84018,NA,Merged
J84020,NA,Closed
K81006,NA,Merged
K81023,NA,Merged
K81032,Merged,Merged
K81039,NA,Merged
K81059,NA,Merged
K81067,NA,Merged
K81089,NA,Merged
K81613,NA,Merged
K81622,NA,Merged
K81638,NA,Merged
K81640,NA,Merged
K81647,NA,Closed
K82005,NA,Merged
K82018,NA,Closed
K82042,NA,Merged
K82043,NA,Merged
K84025,NA,Merged
K84040,NA,Merged
K84048,NA,Merged
K84617,NA,Merged
Y00449,NA,Merged
Y02462,Merged,Merged
Y02471,NA,Merged
Y02506,NA,Merged
Y02754,NA,Closed
Y02758,NA,Closed
Y02816,NA,Closed
Y02826,Merged,Merged
Y03051,NA,Merged
Y04333,NA,Closed
C81019,Merged,Merged
C81076,NA,Merged
C81087,NA,Merged
C81090,NA,Merged
C81104,NA,Closed
C81642,NA,Merged
C81648,NA,Merged
C81654,NA,Merged
C81661,NA,Merged
C82029,NA,Merged
C82036,NA,Merged
C82105,NA,Merged
C82122,NA,Merged
C82123,Merged,Merged
C82623,NA,Merged
C82626,NA,Merged
C82657,NA,Closed
C82663,NA,Closed
C82670,NA,Merged
C83047,Merged,Merged
C83071,NA,Merged
C83628,NA,Closed
C83631,NA,Merged
C83637,NA,Merged
C83653,NA,Merged
C84031,NA,Merged
C84048,NA,Merged
C84096,Merged,Merged
C84104,Merged,Merged
C84114,NA,Merged
C84124,Merged,Merged
C84127,NA,Merged
C84133,NA,Merged
C84135,NA,Closed
C84138,NA,Merged
C84602,NA,Closed
C84647,NA,Closed
C84650,Merged,Merged
C84680,NA,Closed
C84688,NA,Merged
C84698,Merged,Merged
C84709,NA,Merged
C84710,NA,Merged
C84717,NA,Merged
K83033,NA,Merged
K83079,NA,Merged
